keyword,normalized_keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_page,gsc_country,status,notes
shoes for women,shoes for women,informational,blog,https://inc5shop.com/blog,301000,HIGH 100,high,gsc; keyword_planner,282,283717,0,9.24,https://inc5shop.com/collections/women-footwear,India,new,GKP volume 301000; competition HIGH 100; GSC 282 clicks and 283717 impressions; observed page https://inc5shop.com/collections/women-footwear
heels for women,heels for women,informational,blog,https://inc5shop.com/blog,201000,HIGH 99,high,gsc; keyword_planner,7897,2276047,0,6.72,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 201000; competition HIGH 99; GSC 7897 clicks and 2276047 impressions; observed page https://inc5shop.com/collections/womens-heels
sandals for women,sandals for women,informational,blog,https://inc5shop.com/blog,201000,HIGH 99,high,gsc; keyword_planner,9750,1783821,0.01,5.81,https://inc5shop.com/collections/womens-sandals,India,new,GKP volume 201000; competition HIGH 99; GSC 9750 clicks and 1783821 impressions; observed page https://inc5shop.com/collections/womens-sandals
sandals for men,sandals for men,informational,blog,https://inc5shop.com/blog,165000,HIGH 100,high,gsc; keyword_planner,926,380936,0,7.31,https://inc5shop.com/collections/mens-sandals,India,new,GKP volume 165000; competition HIGH 100; GSC 926 clicks and 380936 impressions; observed page https://inc5shop.com/collections/mens-sandals
boots for women,boots for women,informational,blog,https://inc5shop.com/blog,135000,HIGH 100,high,gsc; keyword_planner,3062,894452,0,8.11,https://inc5shop.com/collections/womens-boots,India,new,GKP volume 135000; competition HIGH 100; GSC 3062 clicks and 894452 impressions; observed page https://inc5shop.com/collections/womens-boots
flats for women,flats for women,informational,blog,https://inc5shop.com/blog,90500,HIGH 100,high,gsc; keyword_planner,3025,1493009,0,6.85,https://inc5shop.com/collections/womens-flats,India,new,GKP volume 90500; competition HIGH 100; GSC 3025 clicks and 1493009 impressions; observed page https://inc5shop.com/collections/womens-flats
footwear for women,footwear for women,informational,blog,https://inc5shop.com/blog,60500,HIGH 99,high,gsc; keyword_planner,2417,467402,0.01,8.13,https://inc5shop.com/collections/women-footwear,India,new,GKP volume 60500; competition HIGH 99; GSC 2417 clicks and 467402 impressions; observed page https://inc5shop.com/collections/women-footwear
inc5,inc5,navigational,homepage,https://inc5shop.com,49500,HIGH 94,high,gsc; keyword_planner,11132,510098,0.09,1.44,https://inc5shop.com/,India,new,GKP volume 49500; competition HIGH 94; GSC 11132 clicks and 510098 impressions; observed page https://inc5shop.com/
wedges for women,wedges for women,informational,blog,https://inc5shop.com/blog,40500,HIGH 100,high,gsc; keyword_planner,3435,411649,0.01,5.15,https://inc5shop.com/collections/womens-wedges,India,new,GKP volume 40500; competition HIGH 100; GSC 3435 clicks and 411649 impressions; observed page https://inc5shop.com/collections/womens-wedges
formal shoes for women,formal shoes for women,informational,blog,https://inc5shop.com/blog,40500,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 40500; competition HIGH 99
ladies white shoes,ladies white shoes,informational,blog,https://inc5shop.com/blog,40500,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 40500; competition HIGH 100
