keyword,rank_status,avg_position,rank_bucket,clicks,impressions,ctr,ranking_page,country,priority,intent,page_type,target_url,volume,difficulty,source,notes
shoes for women,ranked_india,18.69,positions_11_20,0,281,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,301000,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 301000; competition HIGH 100; GSC 282 clicks and 283717 impressions; observed page https://inc5shop.com/collections/women-footwear
heels for women,ranked_india,6.58,positions_4_10,508,152181,0.0033,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,201000,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 201000; competition HIGH 99; GSC 7897 clicks and 2276047 impressions; observed page https://inc5shop.com/collections/womens-heels
sandals for women,ranked_india,5.64,positions_4_10,607,131806,0.0046,https://inc5shop.com/collections/womens-sandals,India,high,informational,blog,https://inc5shop.com/blog,201000,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 201000; competition HIGH 99; GSC 9750 clicks and 1783821 impressions; observed page https://inc5shop.com/collections/womens-sandals
sandals for men,ranked_india,6.56,positions_4_10,26,38081,0.0007,https://inc5shop.com/collections/mens-sandals,India,high,informational,blog,https://inc5shop.com/blog,165000,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 165000; competition HIGH 100; GSC 926 clicks and 380936 impressions; observed page https://inc5shop.com/collections/mens-sandals
boots for women,ranked_india,7.17,positions_4_10,170,54528,0.0031,https://inc5shop.com/collections/womens-boots,India,high,informational,blog,https://inc5shop.com/blog,135000,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 135000; competition HIGH 100; GSC 3062 clicks and 894452 impressions; observed page https://inc5shop.com/collections/womens-boots
flats for women,ranked_india,6.38,positions_4_10,182,69093,0.0026,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,90500,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 90500; competition HIGH 100; GSC 3025 clicks and 1493009 impressions; observed page https://inc5shop.com/collections/womens-flats
footwear for women,ranked_india,8.89,positions_4_10,180,46859,0.0038,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,60500,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 60500; competition HIGH 99; GSC 2417 clicks and 467402 impressions; observed page https://inc5shop.com/collections/women-footwear
inc5,ranked_india,3.27,positions_4_10,357,6063,0.0589,https://inc5shop.com/,India,high,navigational,homepage,https://inc5shop.com,49500,HIGH 94,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 49500; competition HIGH 94; GSC 11132 clicks and 510098 impressions; observed page https://inc5shop.com/
wedges for women,ranked_india,5.22,positions_4_10,183,27261,0.0067,https://inc5shop.com/collections/womens-wedges,India,high,informational,blog,https://inc5shop.com/blog,40500,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 40500; competition HIGH 100; GSC 3435 clicks and 411649 impressions; observed page https://inc5shop.com/collections/womens-wedges
formal shoes for women,ranked_india,13.57,positions_11_20,2,1556,0.0013,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,40500,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 40500; competition HIGH 99
ladies white shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,40500,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 40500; competition HIGH 100
heel sandals for women,ranked_india,7.2,positions_4_10,15,7185,0.0021,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,33100,HIGH 98,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 98; GSC 515 clicks and 157176 impressions; observed page https://inc5shop.com/collections/womens-heels
black heels for women,ranked_india,14.95,positions_11_20,0,56,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,33100,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 100; GSC 328 clicks and 99126 impressions; observed page https://inc5shop.com/collections/womens-heels
block heels for women,ranked_india,8.6,positions_4_10,25,10565,0.0024,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,33100,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 33100; competition HIGH 99; GSC 190 clicks and 92747 impressions; observed page https://inc5shop.com/collections/womens-heels
