keyword,priority,intent,page_type,target_url,gsc_status,avg_position,rank_bucket,clicks,impressions,ctr,ranking_page,country,volume,difficulty,source,notes
shoes for women,high,informational,blog,https://inc5shop.com/blog,ranked,9.24,positions_4_10,282,283717,0,https://inc5shop.com/collections/women-footwear,India,301000,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 301000; competition HIGH 100; GSC 282 clicks and 283717 impressions; observed page https://inc5shop.com/collections/women-footwear
heels for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.72,positions_4_10,7897,2276047,0,https://inc5shop.com/collections/womens-heels,India,201000,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 201000; competition HIGH 99; GSC 7897 clicks and 2276047 impressions; observed page https://inc5shop.com/collections/womens-heels
sandals for women,high,informational,blog,https://inc5shop.com/blog,ranked,5.81,positions_4_10,9750,1783821,0.01,https://inc5shop.com/collections/womens-sandals,India,201000,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 201000; competition HIGH 99; GSC 9750 clicks and 1783821 impressions; observed page https://inc5shop.com/collections/womens-sandals
sandals for men,high,informational,blog,https://inc5shop.com/blog,ranked,7.31,positions_4_10,926,380936,0,https://inc5shop.com/collections/mens-sandals,India,165000,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 165000; competition HIGH 100; GSC 926 clicks and 380936 impressions; observed page https://inc5shop.com/collections/mens-sandals
boots for women,high,informational,blog,https://inc5shop.com/blog,ranked,8.11,positions_4_10,3062,894452,0,https://inc5shop.com/collections/womens-boots,India,135000,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 135000; competition HIGH 100; GSC 3062 clicks and 894452 impressions; observed page https://inc5shop.com/collections/womens-boots
flats for women,high,informational,blog,https://inc5shop.com/blog,ranked,6.85,positions_4_10,3025,1493009,0,https://inc5shop.com/collections/womens-flats,India,90500,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 90500; competition HIGH 100; GSC 3025 clicks and 1493009 impressions; observed page https://inc5shop.com/collections/womens-flats
footwear for women,high,informational,blog,https://inc5shop.com/blog,ranked,8.13,positions_4_10,2417,467402,0.01,https://inc5shop.com/collections/women-footwear,India,60500,HIGH 99,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 60500; competition HIGH 99; GSC 2417 clicks and 467402 impressions; observed page https://inc5shop.com/collections/women-footwear
inc5,high,navigational,homepage,https://inc5shop.com,ranked,1.44,top_3,11132,510098,0.09,https://inc5shop.com/,India,49500,HIGH 94,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 49500; competition HIGH 94; GSC 11132 clicks and 510098 impressions; observed page https://inc5shop.com/
wedges for women,high,informational,blog,https://inc5shop.com/blog,ranked,5.15,positions_4_10,3435,411649,0.01,https://inc5shop.com/collections/womens-wedges,India,40500,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 40500; competition HIGH 100; GSC 3435 clicks and 411649 impressions; observed page https://inc5shop.com/collections/womens-wedges
formal shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,40500,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 40500; competition HIGH 99
