keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_position,status
inc 5,navigational,homepage,https://inc5shop.com/,,8,medium,gsc,2939,43064,1.88,active
inc.5,navigational,homepage,https://inc5shop.com/,,8,medium,gsc,1263,25147,1.63,active
inc5,navigational,homepage,https://inc5shop.com/,,10,medium,gsc,1267,15923,3.05,active
inc 5 shoes,navigational,homepage,https://inc5shop.com/,,10,medium,gsc,904,10846,4.0,active
inc 5 heels,navigational,collection,https://inc5shop.com/collections/womens-heels,,12,medium,gsc,367,8858,3.24,active
heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,78,high,gsc,1483,495146,7.08,active
heels,commercial,collection,https://inc5shop.com/collections/womens-heels,,80,high,gsc,562,219469,8.88,active
women heels,commercial,collection,https://inc5shop.com/collections/womens-heels,,70,medium,gsc,116,23899,7.05,active
high heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,68,medium,gsc,99,21221,7.33,active
block heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,58,high,gsc,83,47005,9.15,active
comfortable heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,45,medium,gsc,62,11029,6.64,active
beige heels for women,commercial,collection,https://inc5shop.com/collections/womens-heels,,42,medium,gsc,37,10072,4.56,active
platform heels for women,commercial,collection,https://inc5shop.com/collections/platform-heels,,55,high,gsc,392,50509,3.86,active
platform heels,commercial,collection,https://inc5shop.com/collections/platform-heels,,58,medium,gsc,170,27836,5.67,active
transparent heels,commercial,collection,https://inc5shop.com/collections/transparent-heel-for-women,,52,high,gsc,122,29269,4.51,active
transparent heels for women,commercial,collection,https://inc5shop.com/collections/transparent-heel-for-women,,50,medium,gsc,130,27836,4.01,active
sandals for women,commercial,collection,https://inc5shop.com/collections/womens-sandals,,76,high,gsc,2011,421103,5.84,active
women sandals,commercial,collection,https://inc5shop.com/collections/womens-sandals,,70,medium,gsc,270,44706,6.24,active
ladies sandal,commercial,collection,https://inc5shop.com/collections/womens-sandals,,62,medium,gsc,159,24615,8.29,active
flat sandals for women,commercial,collection,https://inc5shop.com/collections/womens-sandals,,60,high,gsc,150,41371,9.91,active
heels sandals for women,commercial,collection,https://inc5shop.com/collections/womens-sandals,,55,medium,gsc,91,28995,7.14,active
sandals for women office wear,commercial,collection,https://inc5shop.com/collections/womens-sandals,,44,high,gsc,112,18040,5.34,active
sandals for women party wear,commercial,collection,https://inc5shop.com/collections/womens-sandals,,42,medium,gsc,46,11281,6.15,active
sandals for women daily wear,commercial,collection,https://inc5shop.com/collections/womens-sandals,,40,medium,gsc,73,16882,7.85,active
flats for women,commercial,collection,https://inc5shop.com/collections/womens-flats,,75,high,gsc,731,253187,5.45,active
women flats,commercial,collection,https://inc5shop.com/collections/womens-flats,,68,medium,gsc,110,25680,6.46,active
flat slippers for women,commercial,collection,https://inc5shop.com/collections/womens-flats,,50,medium,gsc,126,29337,7.3,active
casual flats for women,commercial,collection,https://inc5shop.com/collections/womens-flats,,44,medium,gsc,33,10756,6.26,active
open toe flats for women,commercial,collection,https://inc5shop.com/collections/womens-flats,,42,medium,gsc,29,9283,4.79,active
wedges for women,commercial,collection,https://inc5shop.com/collections/womens-wedges,,66,high,gsc,618,88605,5.27,active
wedges,commercial,collection,https://inc5shop.com/collections/womens-wedges,,62,medium,gsc,113,30134,7.22,active
wedge heels for women,commercial,collection,https://inc5shop.com/collections/womens-wedges,,52,medium,gsc,122,29434,6.2,active
wedges sandals for women,commercial,collection,https://inc5shop.com/collections/womens-wedges,,48,medium,gsc,100,18974,5.87,active
wedges for women daily wear,commercial,collection,https://inc5shop.com/collections/womens-wedges,,38,medium,gsc,75,8427,3.83,active
mules,commercial,collection,https://inc5shop.com/collections/womens-mules,,58,high,gsc,112,41376,6.03,active
mules women,commercial,collection,https://inc5shop.com/collections/womens-mules,,52,medium,gsc,82,15278,6.47,active
mules shoes,commercial,collection,https://inc5shop.com/collections/womens-mules,,50,medium,gsc,51,11661,8.1,active
boots for women,commercial,collection,https://inc5shop.com/collections/womens-boots,,74,high,gsc,484,180266,8.75,active
women boots,commercial,collection,https://inc5shop.com/collections/womens-boots,,66,medium,gsc,49,10611,8.99,active
pumps for women,commercial,collection,https://inc5shop.com/collections/pumps,,55,medium,gsc,25,6176,7.77,active
footwear for women,commercial,collection,https://inc5shop.com/collections/women-footwear,,72,high,gsc,479,132617,9.36,active
women footwear,commercial,collection,https://inc5shop.com/collections/women-footwear,,70,high,gsc,194,33044,8.96,active
ladies footwear,commercial,collection,https://inc5shop.com/collections/women-footwear,,64,medium,gsc,60,10893,10.31,active
comfortable footwear for women,commercial,collection,https://inc5shop.com/collections/women-footwear,,48,medium,gsc,50,14511,10.57,active
office footwear for women,commercial,collection,https://inc5shop.com/collections/women-footwear,,44,medium,gsc,64,8259,6.19,active
ethnic footwear for women,commercial,collection,https://inc5shop.com/collections/ethnic-footwear,,50,medium,gsc,61,5927,8.41,active
sandals for men,commercial,collection,https://inc5shop.com/collections/mens-sandals,,72,high,gsc,128,196882,6.61,active
leather sandals for men,commercial,collection,https://inc5shop.com/collections/mens-sandals,,55,high,gsc,69,30938,5.13,active
men sandals,commercial,collection,https://inc5shop.com/collections/mens-sandals,,66,medium,gsc,24,28431,7.43,active
formal shoes for men,commercial,collection,https://inc5shop.com/collections/mens-formals,,70,high,gsc,77,17764,8.05,active
slip on sandals for men,commercial,collection,https://inc5shop.com/collections/mens-slipons,,48,medium,gsc,17,5715,6.28,active
shoulder bags for women,commercial,collection,https://inc5shop.com/collections/shoulder-bags,,60,high,gsc,31,79401,7.75,active
handbags,commercial,collection,https://inc5shop.com/collections/all-bags,,68,medium,gsc,51,19099,9.06,active
stylish sling bag for women,commercial,collection,https://inc5shop.com/collections/sling-bags,,45,medium,gsc,24,5745,7.61,active
