"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"HTTP Canonical","https://inc5shop.com/cdn/shop/t/203/assets/facets.js?v=165165207855008112461774418580","https://cdn.shopify.com/s/files/1/0564/8826/3854/t/203/assets/facets.js","0","","","200","OK","Crawlable","true","","","Absolute","","","HTTP"
"HTTP Canonical","https://inc5shop.com/cdn/shop/t/203/assets/share.js?v=13024540447964430191770717761","https://cdn.shopify.com/s/files/1/0564/8826/3854/t/203/assets/share.js","0","","","200","OK","Crawlable","true","","","Absolute","","","HTTP"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/platform-heels","1310935","","Skip to content","200","OK","Crawlable","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/flat-50-off","1537388","","Hot Stepper Sale is Live – Flat 50% Off","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__announcement-bar']/div/div/div[@class='announcement-bar']/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/the-new-edit","937654","","Men","200","OK","Crawlable","true","","","Root-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[1]/details/div/div/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/latest-style-drop","1460137","","Women","200","OK","Crawlable","true","","","Root-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[1]/details/div/div/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/the-march-edit-in-house-bag","784959","","Handbags","200","OK","Crawlable","true","","","Root-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[1]/details/div/div/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/shop-wallets","626376","","Wallets","200","OK","Crawlable","true","","","Root-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[1]/details/div/div/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/womens-heels","9306","","Heels","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/transparent-heel-for-women","1409555","","Transparent Heels","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[2]/a","Navigation","HTML"
