"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/mens-slipons","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/mens-slipons","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/men-footwear","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/header-drawer/details/div/div/div/nav/ul/li[2]/details/div/div/ul/li[12]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/men-footwear","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","1588433","","Mum & Daughter","200","OK","Crawlable","true","","","Absolute","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/nav/ul/li[2]/header-menu/details/ul/li[12]/a","Navigation","HTML"
