"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://inc5shop.com/collections/platform-heels","1","Collection: Platform Heels for Women","36","","0","Indexable",""
"https://inc5shop.com/collections/bags-june-eoss-2026","1","Collection: Signature Styles","28","","0","Indexable",""
"https://inc5shop.com/collections/mens-slipons","1","Collection: Slip-ons","20","","0","Indexable",""
"https://inc5shop.com/collections/clutch-bags","1","Collection: Clutch Bags","23","","0","Indexable",""
"https://inc5shop.com/collections/men-footwear","1","Collection: Sale Men","20","","0","Indexable",""
"https://inc5shop.com/collections/mens-june-eoss-2026","1","Collection: The Gentleman Edit","30","","0","Indexable",""
"https://inc5shop.com/pages/contactus","1","Contact Us","10","","0","Indexable",""
"https://inc5shop.com/collections/mens-sandals","1","Collection: Sandals","19","","0","Indexable",""
"https://inc5shop.com/collections/mens-driving-shoes","1","Collection: Driving Shoes","25","","0","Indexable",""
"https://inc5shop.com/collections/flat-50-off","1","Collection: Flat 50% Off - Selling Fast","39","","0","Indexable",""
"https://inc5shop.com/collections/mens-boots","1","Collection: Boots for Men","25","","0","Indexable",""
"https://inc5shop.com/collections/the-new-edit","1","Collection: Men’s Style Update","30","","0","Indexable",""
"https://inc5shop.com/pages/payment-delivery-policy","1","Payment & delivery policy","25","","0","Indexable",""
"https://inc5shop.com/collections/women-footwear","1","Collection: Women Footwear","26","","0","Indexable",""
"https://inc5shop.com/cart","2","Your cart","9","Your cart is empty","18","Indexable",""
"https://inc5shop.com/collections/new-wallets","1","Collection: Latest Wallets","26","","0","Indexable",""
"https://inc5shop.com/collections/the-prime-fit-collection","1","Collection: The Prime Fit Collection","36","","0","Indexable",""
"https://inc5shop.com/products/inc-5-block-heel-fashion-sandal-for-womens-600588-ant-gold-gold","1","Women Ant Gold Embellished Block Heels","38","","0","Indexable",""
"https://inc5shop.com/collections/womens-wedges","1","Collection: Wedges For Women","28","","0","Indexable",""
"https://inc5shop.com/collections/womens-mules","1","Collection: Mules for Women","27","","0","Indexable",""
"https://inc5shop.com/collections/transparent-heel-for-women","1","Collection: Transparent Heels For Women","39","","0","Indexable",""
"https://inc5shop.com/collections/flat-50","1","Collection: Men","15","","0","Indexable",""
"https://inc5shop.com/collections/shop-wallets","1","Collection: SHOP WALLETS","24","","0","Indexable",""
"https://inc5shop.com/pages/about-us","1","About Us","8","","0","Indexable",""
"https://inc5shop.com/products/women-white-and-multicoloured-open-toe-flats-with-knot-detail-101764-white","1","Women White And Multicoloured Open Toe Flats With Knot Detail","61","","0","Indexable",""
"https://inc5shop.com/collections/womens-flats","1","Collection: Flats","17","","0","Indexable",""
"https://inc5shop.com/collections/womens-sandals","1","Collection: Sandals","19","","0","Indexable",""
"https://inc5shop.com/collections/latest-style-drop","1","Collection: Latest Style Drop","29","","0","Indexable",""
"https://inc5shop.com/products/womens-brown-casual-solid-round-toe-wedge-heels-102880-coffee","1","Womens Brown Casual Solid Round Toe Wedge Heels","47","","0","Indexable",""
"https://inc5shop.com/collections/mens-formals","2","Collection: Formal Shoes","24","Formal Shoes for Men","20","Indexable",""
"https://inc5shop.com/collections/ethnic-footwear","1","Collection: Ethnic Wear","23","","0","Indexable",""
"https://inc5shop.com/collections/the-march-edit-in-house-bag","1","Collection: The New Carry Edit","30","","0","Indexable",""
"https://inc5shop.com/collections/shop-our-bestsellers","1","Collection: Shop our Bestsellers","32","","0","Indexable",""
"https://inc5shop.com/collections/no-sale-inc5","1","Collection: New Arrivals - INC.5","32","","0","Indexable",""
"https://inc5shop.com/collections/shoulder-bags","1","Collection: Shoulder Bags","25","","0","Indexable",""
"https://inc5shop.com/pages/refund-policy","1","Refund policy","13","","0","Indexable",""
