"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/mens-slipons","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/men-footwear","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/mens-june-eoss-2026","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/pages/contactus","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/mens-sandals","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/mens-driving-shoes","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/flat-50-off","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/pages/clearance-sale","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/pages/care-instructions","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/mens-boots","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/the-new-edit","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/pages/payment-delivery-policy","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/women-footwear","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/cart","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/new-wallets","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/h1/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/the-prime-fit-collection","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/products/inc-5-block-heel-fashion-sandal-for-womens-600588-ant-gold-gold","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/womens-wedges","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/womens-mules","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/transparent-heel-for-women","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/flat-50","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/shop-wallets","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/pages/about-us","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/products/women-white-and-multicoloured-open-toe-flats-with-knot-detail-101764-white","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/blogs/blog","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/womens-flats","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/womens-sandals","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/latest-style-drop","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/products/womens-brown-casual-solid-round-toe-wedge-heels-102880-coffee","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/mens-formals","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/ethnic-footwear","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/the-march-edit-in-house-bag","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
"Image","https://inc5shop.com/collections/shop-our-bestsellers","https://inc5shop.com/cdn/shop/files/Screenshot_2023-07-12_at_1.22.28_PM.png?v=1689148366&width=600","INC.5 SHOES PVT LTD ","20","Protocol-Relative","//body/div[@id='shopify-section-sections--21550390575348__header']/sticky-header/header/a/div/img","Header","HTML","","",""
