"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/collections/platform-heels?page=2","9348","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[6]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/collections/bags-june-eoss-2026?page=2","9384","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[6]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/mens-slipons","https://inc5shop.com/collections/mens-slipons?page=2","9342","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/collections/clutch-bags?page=2","9339","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/men-footwear","https://inc5shop.com/collections/men-footwear?page=2","9342","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[6]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/mens-june-eoss-2026","https://inc5shop.com/collections/mens-june-eoss-2026?page=2","9384","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[6]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/mens-sandals","https://inc5shop.com/collections/mens-sandals?page=2","9342","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[5]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/flat-50-off","https://inc5shop.com/collections/flat-50-off?page=2","9339","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[6]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/pages/clearance-sale","https://inc5shop.com/collections/women-footwear?gf_82619=35","9384","","","429","Too Many Requests","Crawlable","true","","","Absolute","//body/main/section[@id='shopify-section-template--21550395293940__multicolumn_a7BJBF']/div/div/slider-component/ul/li[@id='Slide-template--21550395293940__multicolumn_a7BJBF-1']/div/div[1]/div/a","Content","HTML"
"Hyperlink","https://inc5shop.com/pages/clearance-sale","https://inc5shop.com/collections/inc5-sale?gf_82619=36","9348","","","429","Too Many Requests","Crawlable","true","","","Absolute","//body/main/section[@id='shopify-section-template--21550395293940__multicolumn_a7BJBF']/div/div/slider-component/ul/li[@id='Slide-template--21550395293940__multicolumn_a7BJBF-2']/div/div[1]/div/a","Content","HTML"
