"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://inc5shop.com/cart","https://inc5shop.com/cdn/shop/t/203/assets/cart.js?v=53973376719736494311770717761","0","","","0","Blocked by robots.txt","Crawlable","true","","","Protocol-Relative","//body/main/div[@id='shopify-section-template--21550394802420__cart-items']/script[1]","Content","HTML"
"JavaScript","https://inc5shop.com/collections/platform-heels","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/mens-slipons","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/men-footwear","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/mens-june-eoss-2026","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/pages/contactus","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/mens-sandals","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
"JavaScript","https://inc5shop.com/collections/mens-driving-shoes","https://inc5shop.com/checkouts/internal/preloads.js?locale=en-IN&default_configuration_id=484770036","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//head/script[14]","Head","HTML"
