"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://inc5shop.com/collections/the-march-edit-in-house-bag","https://inc5shop.com/collections/the-march-edit-in-house-bag?page=2","9408","","2","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://inc5shop.com/collections/the-march-edit-in-house-bag","https://inc5shop.com/collections/the-march-edit-in-house-bag?page=2","9408","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/div[@class='pagination-wrapper']/nav/ul/li[3]/a","Navigation","HTML"
"HTML Rel Next","https://inc5shop.com/collections/the-march-edit-in-house-bag","https://inc5shop.com/collections/the-march-edit-in-house-bag?page=2","9408","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//head/link[9]","Head","HTML"
"Hyperlink","https://inc5shop.com/collections/flat-50","https://inc5shop.com/products/atesber-tan-solid-loafers-for-men-15282-tan","9432","Atesber Tan Solid Loafers For Men","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[20]/div/div/div[1]/div[@id='product_image_slide_container_8166427853044']/div/div/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/flat-50","https://inc5shop.com/products/atesber-tan-solid-loafers-for-men-15282-tan","9432","","Atesber Tan Solid Loafers For Men","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[20]/div/div/div[1]/div[@class='card__content']/div[1]/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/flat-50","https://inc5shop.com/products/atesber-tan-solid-loafers-for-men-15282-tan","9432","","Atesber Tan Solid Loafers For Men","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[20]/div/div/div[2]/div[@class='card__information']/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/shop-our-bestsellers","https://inc5shop.com/products/womens-beige-party-wear-embellished-round-toe-block-heel-sandals-101997-beige","9577","Womens Beige Party Wear Embellished Round Toe Block Heels","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[1]/div/div/div[1]/div[@id='product_image_slide_container_9063271858420']/div[@class='colorproductimage'][1]/div/a","Content","HTML"
"Hyperlink","https://inc5shop.com/blogs/blog","https://inc5shop.com/blogs/blog/best-inc5-flats-for-navratri-celebration-with-style-amp-comfort","9520","","Best INC5 Flats for Navratri Celebration with S...","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/section/div/div/slider-component/ul/li[@id='Slide-template--21550394769652__featured_blog_LJ86BL-44']/div/div/div[1]/div[@class='card__content']/div/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/blogs/blog","https://inc5shop.com/blogs/blog/best-inc5-flats-for-navratri-celebration-with-style-amp-comfort","9520","","Best INC5 Flats for Navratri Celebration with S...","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/section/div/div/slider-component/ul/li[@id='Slide-template--21550394769652__featured_blog_LJ86BL-44']/div/div/div[@class='card__content']/div/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/products/womens-black-casual-handbag-with-zip-lock-lyng34-8915-black","9502","Womens Black Casual Handbag With Zip Lock","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[18]/div/div/div[1]/div[@id='product_image_slide_container_9222969164020']/div/div/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/products/womens-black-casual-handbag-with-zip-lock-lyng34-8915-black","9502","","Womens Black Casual Handbag With Zip Lock","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[18]/div/div/div[1]/div[@class='card__content']/div[1]/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/bags-june-eoss-2026","https://inc5shop.com/products/womens-black-casual-handbag-with-zip-lock-lyng34-8915-black","9502","","Womens Black Casual Handbag With Zip Lock","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[18]/div/div/div[2]/div[@class='card__information']/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/products/women-grey-embellished-clutch-bag-with-zip-lock-for-party","9474","Women Grey Embellished Clutch Bag With Zip Lock For Party","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[2]/div/div/div[1]/div[@id='product_image_slide_container_9440436289780']/div/div/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/products/women-grey-embellished-clutch-bag-with-zip-lock-for-party","9474","","Women Grey Embellished Clutch Bag With Zip Lock For Party","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[2]/div/div/div[1]/div[@class='card__content']/div[1]/h3/a","Content","HTML"
"Hyperlink","https://inc5shop.com/collections/clutch-bags","https://inc5shop.com/products/women-grey-embellished-clutch-bag-with-zip-lock-for-party","9474","","Women Grey Embellished Clutch Bag With Zip Lock For Party","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/main/div[@id='shopify-section-template--21550394835188__product-grid']/div/div/div/div[@class='collection']/ul/li[2]/div/div/div[2]/div[@class='card__information']/h3/a","Content","HTML"
