"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://offlimits.co.in/pages/technology","80","29","2.759","33.778","Hard","","","","","","","","","","en","14b08712aade8e721ed2f3e25b892a8d","Indexable",""
"https://offlimits.co.in/pages/store-gallery","95","32","2.969","48.870","Hard","","","","","","","","","","en","1d4f37827ac4fb627b42369e9f01189f","Indexable",""
"https://offlimits.co.in/pages/sitemap","2469","533","4.632","100.000","Very Easy","","","","","","","","","","en","f459ae427f89fb440825a6630f037e26","Indexable",""
"https://offlimits.co.in/pages/return-exchange","392","68","5.765","67.825","Normal","","","","","","","","","","en","2e8a960907076dad7c1ac1b75ceaea55","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","2798","366","7.645","62.621","Normal","","","","","","","","","","en","d2063d2394d626c3aa5c538ffa85d6ce","Indexable",""
"https://offlimits.co.in/pages/contact","108","44","2.455","60.210","Normal","","","","","","","","","","en","2e44be2c4431b5279957b2853804fb7d","Indexable",""
"https://offlimits.co.in/collections/women-walking","382","186","2.054","100.000","Very Easy","","","","","","","","","","en","2540896069f9e2554b6f9bd6dd0754b5","Indexable",""
"https://offlimits.co.in/collections/women-tights","527","274","1.923","100.000","Very Easy","","","","","","","","","","en","8515a76c464088290f7e763385940c94","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","867","434","1.998","100.000","Very Easy","","","","","","","","","","en","56915fad91c853edbc02c7ad71deddb","Indexable",""
"https://offlimits.co.in/collections/women-clothing","818","433","1.889","100.000","Very Easy","","","","","","","","","","en","e71412d927fbdabf54bf35541864f688","Indexable",""
"https://offlimits.co.in/collections/women-bestsellers","187","81","2.309","91.843","Very Easy","","","","","","","","","","en","c090561f5a55103958d1c6291fde9c84","Indexable",""
"https://offlimits.co.in/collections/women","872","443","1.968","100.000","Very Easy","","","","","","","","","","en","8073154f8cba572943d42b19cca4edc1","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1615","551","2.931","100.000","Very Easy","","","","","","","","","","en","152fbef8c6dbd9eee1a2eb8dbd162f5c","Indexable",""
"https://offlimits.co.in/collections/size-13-shoes","926","434","2.134","100.000","Very Easy","","","","","","","","","","en","73806a14751ac2600c85883179399333","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","399","270","1.478","100.000","Very Easy","","","","","","","","","","en","8f0bb8e347b24fca08cd75a3323d08b5","Indexable",""
"https://offlimits.co.in/collections/men-track-suits","1533","515","2.977","98.684","Very Easy","","","","","","","","","","en","c6896e09b37a000d2c471b68625d5214","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","190","89","2.135","96.914","Very Easy","","","","","","","","","","en","629ad21013b3b724028e239e023b87f9","Indexable",""
"https://offlimits.co.in/collections/men-shorts","144","65","2.215","80.624","Easy","","","","","","","","","","en","11f47a6efe5071cd500708706402f8ca","Indexable",""
"https://offlimits.co.in/collections/men-shoes/","1663","572","2.907","100.000","Very Easy","","","","","","","","","","en","d25b0456818a3df49eb5b5d50a0a50e9","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-sandals-sliders","1423","526","2.705","100.000","Very Easy","","","","","","","","","","en","669abd2272fefe9ca7311faa839b2a97","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1753","585","2.997","97.283","Very Easy","","","","","","","","","","en","1c52832022a9ff937e125d10834a2ee1","Indexable",""
"https://offlimits.co.in/collections/men-joggers-track-pants","146","65","2.246","80.552","Easy","","","","","","","","","","en","16523abd6fd20da99c4924b2fbe2df39","Indexable",""
"https://offlimits.co.in/collections/men-gym-training","1572","538","2.922","98.765","Very Easy","","","","","","","","","","en","aab4bbdfcecbbede9835dfd586c899e2","Indexable",""
"https://offlimits.co.in/collections/leather-shoes","850","222","3.829","88.689","Easy","","","","","","","","","","en","f1c362b55a7744ed3534ac929c8f0b08","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1640","584","2.808","100.000","Very Easy","","","","","","","","","","en","6c560cddb60d84b0480882ce65f0d479","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1691","552","3.063","100.000","Very Easy","","","","","","","","","","en","dab3c14e142da703ba9edd44195c8d8e","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men?srsltid=AfmBOoqGT_qNT3Pt8Sb5bzRrxU_xuGBTzCCycxgJRfAaOm41ofyk63nI&utm_source=chatgpt.com","1625","569","2.856","100.000","Very Easy","","","","","","","","","","en","253df6f3ccc110594258e98b4843ccc3","Non-Indexable","Canonicalised"
