"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://offlimits.co.in/pages/technology","0","","0","Indexable",""
"https://offlimits.co.in/pages/store-gallery","1","Store Gallery","13","Indexable",""
"https://offlimits.co.in/pages/sitemap","1","Sitemap","7","Indexable",""
"https://offlimits.co.in/pages/return-exchange","1","Returns & Exchanges Policy","26","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","1","Privacy Policy","14","Indexable",""
"https://offlimits.co.in/pages/contact","1","Contact","7","Indexable",""
"https://offlimits.co.in/collections/women-walking","1","Women's Walking Shoes","21","Indexable",""
"https://offlimits.co.in/collections/women-tights","1","Women's Tights & Leggings","25","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","1","Women's Running & Gym Shoes","27","Indexable",""
"https://offlimits.co.in/collections/women-clothing","1","Women's Athleisure & Clothing","29","Indexable",""
"https://offlimits.co.in/collections/women-bestsellers","1","Best Selling Women's Shoes & Athleisure","39","Indexable",""
"https://offlimits.co.in/collections/women","1","Women's Shoes, Sneakers & Athleisure","36","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","White Shoes for Men","19","Indexable",""
"https://offlimits.co.in/collections/size-13-shoes","1","UK Size 13 Shoes for Men","24","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","Men's SWAT Tactical Boots","25","Indexable",""
"https://offlimits.co.in/collections/men-track-suits","1","Men Track Suits","15","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","1","Men's Sweatshirts","17","Indexable",""
"https://offlimits.co.in/collections/men-shorts","1","Men's Sports Shorts","19","Indexable",""
"https://offlimits.co.in/collections/men-shoes/","1","Men Shoes","9","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-sandals-sliders","1","Men's Sandals & Sliders","23","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Men's Running Shoes","19","Indexable",""
"https://offlimits.co.in/collections/men-joggers-track-pants","1","Men's Joggers & Track Pants","27","Indexable",""
"https://offlimits.co.in/collections/men-gym-training","1","Men's Gym & Training Shoes","26","Indexable",""
"https://offlimits.co.in/collections/leather-shoes","1","Premium Leather Shoes for Men","29","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","Men's High Top Sneakers","23","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Men's Casual Shoes","18","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men?srsltid=AfmBOoqGT_qNT3Pt8Sb5bzRrxU_xuGBTzCCycxgJRfAaOm41ofyk63nI&utm_source=chatgpt.com","1","Black Sneakers for Men","22","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/basketball-boots","1","Men's Basketball Shoes & Boots","30","Indexable",""
"https://offlimits.co.in/collections/all","1","All","3","Indexable",""
"https://offlimits.co.in/blogs/blogs","1","Sportswear, Footwear & Fitness Tips Blog | Off Limits","53","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","Black Sneakers for Men","22","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","Best Selling Men's Shoes & Athleisure","37","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","1","Men's Running & Gym Shoes","25","Indexable",""
"https://offlimits.co.in/collections/men-shoes","1","Men Shoes","9","Indexable",""
"https://offlimits.co.in/collections/mens-shoes","1","Men's Footwear Collection","25","Indexable",""
