"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","Meta Keywords 2","Meta Keywords 2 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://offlimits.co.in/sitemap_products_2.xml?from=7924794359901&to=8185248022621","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.264","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap_products_2.xml?from=7924794359901&to=8185248022621","2026-07-23 18:19:24"
"https://offlimits.co.in/sitemap_products_1.xml?from=6628758749277&to=7924712079453","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.477","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap_products_1.xml?from=6628758749277&to=7924712079453","2026-07-23 18:19:25"
"https://offlimits.co.in/sitemap_pages_1.xml?from=80016310365&to=117621391453","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.314","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap_pages_1.xml?from=80016310365&to=117621391453","2026-07-23 18:19:26"
"https://offlimits.co.in/sitemap_collections_1.xml?from=261691080797&to=313118425181","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.406","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap_collections_1.xml?from=261691080797&to=313118425181","2026-07-23 18:19:26"
"https://offlimits.co.in/sitemap_blogs_1.xml","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.242","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap_blogs_1.xml","2026-07-23 18:19:26"
"https://offlimits.co.in/sitemap_agentic_discovery.xml","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.246","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap_agentic_discovery.xml","2026-07-23 18:19:27"
"https://offlimits.co.in/pages/technology","text/html; charset=utf-8","200","OK","Indexable","","Innovative Activewear Technology | Off Limits","45","403","technology flexiknit athlite super memory tech glove fit advanced memory foam wicktech recomat  ","96","623","Innovative Activewear Technology | Off Limits,OFFLIMITS,offlimits.co.in","71","Innovative Activewear Technology | Off Limits, OFFLIMITS, offlimits.co.in","73","","0","technology","10","","0","max-image-preview:large","","","https://offlimits.co.in/pages/technology","","","","","","522733","97985","97985","14.521","","80","29","2.759","33.778","Hard","0.546","0","1","","80","35","0","100.000","125","76","0","8","7","0","","","","","14b08712aade8e721ed2f3e25b892a8d","0.279","","","","","en","1.1","","","","","","https://offlimits.co.in/pages/technology","2026-07-23 18:19:28"
"https://offlimits.co.in/pages/store-gallery","text/html; charset=utf-8","200","OK","Indexable","","Store Gallery | Off Limits - Explore Our Spaces","47","400","Off Limits Store - Sonipat Off Limits Store - Jaggi Mall Off Limits Store - Ludhiana Off Limits Store - Guwahati Off Limits Store - Jalandhar","141","859","Store Gallery | Off Limits - Explore Our Spaces,OFFLIMITS,offlimits.co.in","73","Store Gallery | Off Limits - Explore Our Spaces, OFFLIMITS, offlimits.co.in","75","Store Gallery","13","Off Limits Store - Sonipat","26","Off Limits Store - Jaggi Mall","29","max-image-preview:large","","","https://offlimits.co.in/pages/store-gallery","","","","","","522568","97772","97772","14.490","","95","32","2.969","48.870","Hard","0.557","0","1","","45","35","0","100.000","125","76","0","8","7","0","","","","","1d4f37827ac4fb627b42369e9f01189f","0.195","","","","","en","1.1","","","","","","https://offlimits.co.in/pages/store-gallery","2026-07-23 18:19:30"
"https://offlimits.co.in/pages/sitemap","text/html; charset=utf-8","200","OK","Indexable","","Sitemap - Online Shopping Store","31","285","Find all collections, blogs and product links here. Explore the latest running Shoes, Sandals & Sliders, Equipment, Apparel and Clothing trends.","144","890","Sitemap - Online Shopping Store,OFFLIMITS,offlimits.co.in","57","Sitemap - Online Shopping Store, OFFLIMITS, offlimits.co.in","59","Sitemap","7","Collections","11","Blogs","5","max-image-preview:large","","","https://offlimits.co.in/pages/sitemap","","","","","","659578","115034","115034","17.048","","2469","533","4.632","100.000","Very Easy","2.178","0","1","","45","35","0","100.000","547","444","0","8","7","0","","","","","f459ae427f89fb440825a6630f037e26","0.177","","","","","en","1.1","","","","","","https://offlimits.co.in/pages/sitemap","2026-07-23 18:19:31"
"https://offlimits.co.in/pages/return-exchange","text/html; charset=utf-8","200","OK","Indexable","","Returns & Exchange Policy for Online Orders | Off Limits","56","490","Learn about Off Limits return and exchange policies, eligibility criteria and simple steps for hassle-free returns. Find the perfect pair for work, travel, and weekends at Off Limits.","183","1107","Returns & Exchange Policy for Online Orders | Off Limits,OFFLIMITS,offlimits.co.in","82","Returns & Exchange Policy for Online Orders | Off Limits, OFFLIMITS, offlimits.co.in","84","Returns & Exchanges Policy","26","","0","","0","max-image-preview:large","","","https://offlimits.co.in/pages/return-exchange","","","","","","524302","98779","98779","14.639","","392","68","5.765","67.825","Normal","0.889","0","1","","45","35","0","100.000","125","76","0","8","7","0","","","","","2e8a960907076dad7c1ac1b75ceaea55","0.207","","","","","en","1.1","","","","","","https://offlimits.co.in/pages/return-exchange","2026-07-23 18:19:32"
