"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Skip to content","200","OK","Crawlable","true","","","Path-Relative","//body/a[1]","Content","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","FEATURED","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_rBEA6m']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Shop by category","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Shop by Collection","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","All Clothing","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_EMEyAE']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Featured","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_DwDfUa']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Shop by category","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_QRmtMT']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Shop by Collection","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_W4LcJA']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","All Clothing","200","OK","Crawlable","true","_self","","Path-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_EbVAiN']/div/div/div/div[@id='bk_link_KL8kyk']/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/men-shoes/","4679827","","Filter","200","OK","Crawlable","false","","nofollow","Path-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[3]/div[1]/div[1]/a[1]","Content","HTML"
