"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://offlimits.co.in/pages/technology","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/store-gallery","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/sitemap","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/return-exchange","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/privacy-policy","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/contact","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-walking","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-tights","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-running-gym","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-clothing","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-bestsellers","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/white-shoes-for-men","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/size-13-shoes","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/s-w-a-t-men","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-track-suits","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-sweatshirts","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shorts","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes/","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-sandals-sliders","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-running-shoes","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-joggers-track-pants","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-gym-training","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/leather-shoes","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/high-top-shoes-for-men","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/casual-shoes-men","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/black-shoes-for-men?srsltid=AfmBOoqGT_qNT3Pt8Sb5bzRrxU_xuGBTzCCycxgJRfAaOm41ofyk63nI&utm_source=chatgpt.com","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/basketball-boots","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/all","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/blogs/blogs","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/black-shoes-for-men","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-running-gym-shoes","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-shoes","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-shoes","https://offlimits.co.in/collections/mens-footwear","0","","Shop All","301","Moved Permanently","Crawlable","true","","","Absolute","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_7z3ewM']/ul/li[@class='menu-item'][11]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/technology","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/pages/store-gallery","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/pages/sitemap","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/pages/return-exchange","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/pages/privacy-policy","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/pages/contact","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-walking","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-tights","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-running-gym","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-clothing","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-bestsellers","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/women","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/white-shoes-for-men","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
"Hyperlink","https://offlimits.co.in/collections/size-13-shoes","https://offlimits.co.in/collections/men-running-gym","0","","Running Gym Shoes For Men","301","Moved Permanently","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='popular-search']/div/ul[@class='category-items'][2]/li[8]/a","Footer","HTML"
