"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/pages/technology","1","technology flexiknit athlite super memory tech glove fit advanced memory foam wicktech recomat  ","96","623","Indexable",""
"https://offlimits.co.in/pages/store-gallery","1","Off Limits Store - Sonipat Off Limits Store - Jaggi Mall Off Limits Store - Ludhiana Off Limits Store - Guwahati Off Limits Store - Jalandhar","141","859","Indexable",""
"https://offlimits.co.in/pages/sitemap","1","Find all collections, blogs and product links here. Explore the latest running Shoes, Sandals & Sliders, Equipment, Apparel and Clothing trends.","144","890","Indexable",""
"https://offlimits.co.in/pages/return-exchange","1","Learn about Off Limits return and exchange policies, eligibility criteria and simple steps for hassle-free returns. Find the perfect pair for work, travel, and weekends at Off Limits.","183","1107","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","1","Every customer is valuable to us and for each valued customer, we have a privacy policy. Explore the privacy policy regarding our valuable customers.","149","943","Indexable",""
"https://offlimits.co.in/pages/contact","1","We are here for all your queries and concerns, feel free to leave your message or CALL 9599297556 or Mail us at support@offlimits.co.in.","136","866","Indexable",""
"https://offlimits.co.in/collections/women-walking","1","Explore women's walking shoes designed for comfort, cushioning and all-day support. Perfect for daily walks, travel and active lifestyles. Buy now!","147","921","Indexable",""
"https://offlimits.co.in/collections/women-tights","1","Shop Women's Tights Designed for Workouts, Yoga and Training with Stretch Comfort and performance support. Shop now at Off Limits.","130","864","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","1","Discover Women's Running and Gym Shoes designed for comfort, stability and performance during every workout. Shop now at Off Limits.","132","873","Indexable",""
"https://offlimits.co.in/collections/women-clothing","1","Shop Women's Athleisure Apperal, T-Shirts, Tights, Sweatshirts and Casual Clothing designed for comfort, movement and style. Shop our latest collection at Off Limits.","166","1056","Indexable",""
"https://offlimits.co.in/collections/women-bestsellers","1","Explore Bestselling Women's Shoes, Sneakers and Athleisure, loved for comfort, performance and everyday style. Shop the latest collection at Off Limits!","152","966","Indexable",""
"https://offlimits.co.in/collections/women","1","Discover Women's Sports Shoes, Sneakers and Athleisure Collections crafted for fitness, comfort and everyday fashion. Shop now at Off Limits!","141","908","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","Shop men's sports shoes at Off Limits built for running, training, gym workouts and active lifestyles with lasting comfort. Don't miss the latest styles.","153","934","Indexable",""
"https://offlimits.co.in/collections/size-13-shoes","1","Discover UK 13 size shoes for men designed for superior comfort, support and style. Shop big-size footwear at Off Limits.","121","764","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","Discover SWAT men's sports shoes built for training, workouts and everyday performance with superior comfort and style. Walk in comfort, shop at Off Limits.","156","996","Indexable",""
"https://offlimits.co.in/collections/men-track-suits","1","Shop the Latest Track Suit for Mens Online From OffLimits. Explore the huge collection of tracksuit for men online at affordable prices. Order Now!","147","922","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","1","Explore stylish men's sweatshirts designed for everyday comfort, training sessions, and casual outings throughout the year. Shop Online now!","140","894","Indexable",""
"https://offlimits.co.in/collections/men-shorts","1","Discover Men's Sports Shorts crafted for workouts, running, and training. Lightweight, breathable, and built for movement. Place your order today!","146","920","Indexable",""
"https://offlimits.co.in/collections/men-shoes/","1","Discover top-quality men's shoes for every occasion at Offlimits. Shop now for comfort, durability, and style in every step.","124","762","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-sandals-sliders","1","Browse Men's Sandals and Sliders designed for lightweight comfort, casual wear and daily use. Shop the latest collection at Off Limits.","135","849","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Browse men's running shoes built for speed, comfort and endurance. Ideal for daily runs, training and active lifestyles. Shop now at Off Limits.","144","893","Indexable",""
"https://offlimits.co.in/collections/men-joggers-track-pants","1","Shop men's joggers and track pants designed for workouts, travel and everyday wear. Experience comfort, flexibility and modern style. Shop now at Off Limits!","157","1000","Indexable",""
"https://offlimits.co.in/collections/men-gym-training","1","Shop Men's Gym Training Shoes engineered for workouts, strength training and all-round fitness performance. Perfect for work, travel, and everyday wear at Off Limits.","166","1056","Indexable",""
