"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://offlimits.co.in/","520","204","2.549","78.975","Fairly Easy","","","","","","","","","","en","f09e05e1980f5ef124da3a9864304436","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","836","435","1.922","100.000","Very Easy","","","","","","","","","","en","4060bfc5e268ec0a7c2aead3c4d3c17d","Indexable",""
"https://offlimits.co.in/collections/men-clothing","800","433","1.848","100.000","Very Easy","","","","","","","","","","en","41d011ab9b82dac14f6dce0fa8515366","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","820","433","1.894","100.000","Very Easy","","","","","","","","","","en","c8f559e93ad6c6197f771829df9b19b4","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1340","434","3.088","90.122","Very Easy","","","","","","","","","","en","b4f367113312aee11d0a596fc4949248","Indexable",""
"https://offlimits.co.in/collections/men-walking","248","129","1.922","100.000","Very Easy","","","","","","","","","","en","3ea518e19dea304b22d0d8bcc91e9f20","Indexable",""
"https://offlimits.co.in/pages/shipping-policy","232","53","4.377","64.188","Normal","","","","","","","","","","en","41e963f6786aa5b530735494516f33fa","Indexable",""
"https://offlimits.co.in/collections/women-lifestyle","648","313","2.070","100.000","Very Easy","","","","","","","","","","en","9b001813b2f09e8181e856f4d4ae4cd1","Indexable",""
"https://offlimits.co.in/pages/about-us","901","140","6.436","67.440","Normal","","","","","","","","","","en","d8a4938c1ca95cb960fe36469440a25b","Indexable",""
"https://offlimits.co.in/collections/women-hoodies-jackets","189","89","2.124","92.775","Very Easy","","","","","","","","","","en","2dd825634e212071870a6f65c2169eaf","Indexable",""
"https://offlimits.co.in/collections/limited-edition","804","434","1.853","100.000","Very Easy","","","","","","","","","","en","3875870a05b2e85f88d6e434e7ddeff1","Indexable",""
"https://offlimits.co.in/collections/women-shoes","1591","552","2.882","99.688","Very Easy","","","","","","","","","","en","b7a2c65e39bee075e78e06e0ea0f6a99","Indexable",""
"https://offlimits.co.in/collections/low-top-shoes-for-men","1608","563","2.856","100.000","Very Easy","","","","","","","","","","en","933dfa543eafd1de075b44f0ffcd3790","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","777","438","1.774","100.000","Very Easy","","","","","","","","","","en","e926b2a063446180c1e21a94b3aede51","Indexable",""
"https://offlimits.co.in/collections/stussy","847","435","1.947","100.000","Very Easy","","","","","","","","","","en","d1902c3e96b4414f0294543297eab627","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1625","569","2.856","100.000","Very Easy","","","","","","","","","","en","253df6f3ccc110594258e98b4843ccc3","Indexable",""
"https://offlimits.co.in/collections/men-trail","130","57","2.281","74.366","Fairly Easy","","","","","","","","","","en","3fcf334d364f6fd2459732970a0bb6f","Indexable",""
"https://offlimits.co.in/collections/women-pants-sweatpants","155","73","2.123","82.965","Easy","","","","","","","","","","en","ad49897e50bb3c4a76fc8fca79af8264","Indexable",""
"https://offlimits.co.in/collections/men","772","451","1.712","100.000","Very Easy","","","","","","","","","","en","286744d87dd6a58de5c97c6b687fe00b","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026","847","435","1.947","100.000","Very Easy","","","","","","","","","","en","dcc35b60814908288e99d1c29b97fbda","Indexable",""
"https://offlimits.co.in/collections/women-sneakers","1309","359","3.646","83.440","Easy","","","","","","","","","","en","b9e4728cad9709e2fe5667dd990f0a97","Indexable",""
"https://offlimits.co.in/collections/women-shorts","101","41","2.463","55.238","Fairly Hard","","","","","","","","","","en","bc78b11da36f023ba217ab97aa51276","Indexable",""
"https://offlimits.co.in/collections/women-tshirts-graphic-tees","1013","235","4.311","93.975","Very Easy","","","","","","","","","","en","46ae073a9276247d6a8700da30232731","Indexable",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks","775","433","1.790","100.000","Very Easy","","","","","","","","","","en","31d3d10422e3742f719bd1e1fe83f1f2","Indexable",""
"https://offlimits.co.in/collections/men-basketball","1715","644","2.663","98.616","Very Easy","","","","","","","","","","en","3a212413755d758eaed29a84692d981a","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","798","450","1.773","100.000","Very Easy","","","","","","","","","","en","ea7731b029031eac0a5ca3b8ada5fbc4","Indexable",""
"https://offlimits.co.in/collections/performance","785","433","1.813","100.000","Very Easy","","","","","","","","","","en","d92f5af79e9e2f7afb31ccf955e0f2d7","Indexable",""
"https://offlimits.co.in/collections/men-new-releases","829","434","1.910","100.000","Very Easy","","","","","","","","","","en","7a972a74c97ae93f25dd8acad8229d89","Indexable",""
"https://offlimits.co.in/collections/men-hoodies-jackets","181","81","2.235","98.934","Very Easy","","","","","","","","","","en","2cf114d0c7dfe0dc7b61c073b702f6af","Indexable",""
"https://offlimits.co.in/collections/mens-sneakers","1826","592","3.084","96.263","Very Easy","","","","","","","","","","en","f2ee8d6d52866633d862e7f837e38788","Indexable",""
"https://offlimits.co.in/collections/gym-training","1697","563","3.014","94.897","Very Easy","","","","","","","","","","en","9db4ac347f787333cf5b9f3b9bef089f","Indexable",""
"https://offlimits.co.in/collections/mens-sports-shoes","356","185","1.924","100.000","Very Easy","","","","","","","","","","en","fbf10fd96790e81263764d4f727e49e2","Indexable",""
"https://offlimits.co.in/collections/big-tall","1818","556","3.270","100.000","Very Easy","","","","","","","","","","en","531bd9fb8996f48140d57474e98cce51","Indexable",""
"https://offlimits.co.in/collections/women-new-releases","832","437","1.904","100.000","Very Easy","","","","","","","","","","en","e52435b86e87fb664771457990c97276","Indexable",""
"https://offlimits.co.in/collections/black-sneakers","1593","548","2.907","100.000","Very Easy","","","","","","","","","","en","7039ddf833cf00ffdaf4798993c9f219","Indexable",""
"https://offlimits.co.in/collections/stussy-for-women","251","113","2.221","100.000","Very Easy","","","","","","","","","","en","191b91b48a2dd4028d492112723ea299","Indexable",""
"https://offlimits.co.in/collections/women-running-shoes","1698","565","3.005","99.504","Very Easy","","","","","","","","","","en","596c900d587a88bc8d1ed281cc910a8b","Indexable",""
"https://offlimits.co.in/collections/women-sandals-sliders","1288","411","3.134","92.190","Very Easy","","","","","","","","","","en","ed85983385a5af880a84e453ee3f7cd7","Indexable",""
"https://offlimits.co.in/pages/terms-conditions","4007","477","8.400","65.655","Normal","","","","","","","","","","en","785771e9a7c32c145078015ec10a757b","Indexable",""
"https://offlimits.co.in/collections/women-sweatshirts","131","57","2.298","70.176","Fairly Easy","","","","","","","","","","en","6778ea3cd52e14532219aa01e5c4d4cc","Indexable",""
"https://offlimits.co.in/collections/skate-sneakers","797","434","1.836","100.000","Very Easy","","","","","","","","","","en","85a5ab3c398470359b2cfdd5676797e4","Indexable",""
"https://offlimits.co.in/collections/women-gym-training","1852","577","3.210","100.000","Very Easy","","","","","","","","","","en","406010999a3fc81d963c2c121a097de3","Indexable",""
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","922","222","4.153","81.500","Easy","","","","","","","","","","en","9ca593564f7abad5de820364def0dc12","Indexable",""
