"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://offlimits.co.in/","1","Sports Shoes, Sneakers & athleisure wear for Men & Women","56","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","1","New Arrivals","12","Indexable",""
"https://offlimits.co.in/collections/men-clothing","1","Men Clothing","12","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","1","White Sneaker For Men","21","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1","Women Track Suits","17","Indexable",""
"https://offlimits.co.in/collections/men-walking","1","Men Walking","11","Indexable",""
"https://offlimits.co.in/pages/shipping-policy","1","Shipping Policy","15","Indexable",""
"https://offlimits.co.in/collections/women-lifestyle","1","Women's Lifestyle Shoes","23","Indexable",""
"https://offlimits.co.in/pages/about-us","1","About Us","8","Indexable",""
"https://offlimits.co.in/collections/women-hoodies-jackets","1","Women's Hoodies & Jackets","25","Indexable",""
"https://offlimits.co.in/collections/limited-edition","1","Limited Edition Sneakers Collection","35","Indexable",""
"https://offlimits.co.in/collections/women-shoes","1","Women's Shoes & Sneakers","24","Indexable",""
"https://offlimits.co.in/collections/low-top-shoes-for-men","1","Men's Low Top Sneakers","22","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","1","Men's Running & Gym Shoes","25","Indexable",""
"https://offlimits.co.in/collections/stussy","1","Stussy Sneakers Collection","26","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","Black Sneakers for Men","22","Indexable",""
"https://offlimits.co.in/collections/men-trail","1","Men's Trail Running Shoes","25","Indexable",""
"https://offlimits.co.in/collections/women-pants-sweatpants","1","Women's Sweatpants & Joggers","28","Indexable",""
"https://offlimits.co.in/collections/men","1","Men","3","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026","1","New Arrivals 2026","17","Indexable",""
"https://offlimits.co.in/collections/women-sneakers","1","Women's Sneakers","16","Indexable",""
"https://offlimits.co.in/collections/women-shorts","1","Women Shorts","12","Indexable",""
"https://offlimits.co.in/collections/women-tshirts-graphic-tees","1","Women's Graphic T-Shirts","24","Indexable",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks","1","Lifestyle - Recovery Kicks","26","Indexable",""
"https://offlimits.co.in/collections/men-basketball","1","Men's Basketball Shoes","22","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","Best Selling Men's Shoes & Athleisure","37","Indexable",""
"https://offlimits.co.in/collections/performance","1","Performance Sports Shoes","24","Indexable",""
"https://offlimits.co.in/collections/men-new-releases","1","Men's New Arrivals","18","Indexable",""
"https://offlimits.co.in/collections/men-hoodies-jackets","1","Men's Hoodies & Jackets","23","Indexable",""
"https://offlimits.co.in/collections/mens-sneakers","1","Sneakers for Men","16","Indexable",""
"https://offlimits.co.in/collections/gym-training","1","Gym & Training Shoes","20","Indexable",""
"https://offlimits.co.in/collections/mens-sports-shoes","1","Men's Sports Shoes","18","Indexable",""
"https://offlimits.co.in/collections/big-tall","1","Big & Tall Sportswear for Men","29","Indexable",""
"https://offlimits.co.in/collections/women-new-releases","1","Women's New Arrivals","20","Indexable",""
"https://offlimits.co.in/collections/black-sneakers","1","Black Sneakers For Men","22","Indexable",""
"https://offlimits.co.in/collections/stussy-for-women","1","Stussy Women's Sneakers","23","Indexable",""
"https://offlimits.co.in/collections/women-running-shoes","1","Women's Running Shoes","21","Indexable",""
"https://offlimits.co.in/collections/women-sandals-sliders","1","Women Sandals & Sliders","23","Indexable",""
"https://offlimits.co.in/pages/terms-conditions","1","Terms & Conditions","18","Indexable",""
"https://offlimits.co.in/collections/women-sweatshirts","1","Women's Sweatshirts","19","Indexable",""
"https://offlimits.co.in/collections/skate-sneakers","1","Skate Sneakers & Streetwear Shoes","33","Indexable",""
"https://offlimits.co.in/collections/women-gym-training","1","Women's Gym & Training Shoes","28","Indexable",""
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","1","Men's Graphic T-Shirts","22","Indexable",""
