"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","Meta Keywords 2","Meta Keywords 2 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://offlimits.co.in/","text/html; charset=utf-8","200","OK","Indexable","","OFF LIMITS - Sports Shoes, Sneakers & Athleisure Apparel Online","63","573","Shop Sports Shoes, Sneakers, Gym Footwear, and Athleisure Apparel for men & women. Discover stylish, performance-driven collections at Off Limits.","146","949","OFFLIMITS, offlimits.co.in","26","","0","Sports Shoes, Sneakers & athleisure wear for Men & Women","56","STEP INTO OUR TRIBE","19","BEYOND LIMITS, WITHIN REACH","27","max-image-preview:large","","","https://offlimits.co.in/","","","","","","601210","107107","107107","15.873","","520","204","2.549","78.975","Fairly Easy","0.977","0","0","","141","43","0","100.000","159","97","0","11","10","0","","","","","f09e05e1980f5ef124da3a9864304436","0.207","","","","","en","1.1","","","","","","https://offlimits.co.in/","2026-07-23 18:11:29"
"https://offlimits.co.in/sitemap.xml","application/xml; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1001","421","421","0.062","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","f7562a84e630655e203f1db44115f91d","0.160","","","","","","1.1","","","","","","https://offlimits.co.in/sitemap.xml","2026-07-23 18:11:33"
"https://offlimits.co.in/collections/new-arrivals","text/html; charset=utf-8","200","OK","Indexable","","Shop New Arrivals Collection Online at Offlimits","48","419","Discover the latest shoe arrivals at Offlimits. Elevate your style with our newest collection of trendy and comfortable footwear.","129","796","New Arrivals,OFFLIMITS,offlimits.co.in","38","Shop New Arrivals Collection Online at Offlimits, OFFLIMITS, offlimits.co.in","76","New Arrivals","12","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/new-arrivals","https://offlimits.co.in/collections/new-arrivals?page=2","","","","","4822030","456639","456639","67.674","","836","435","1.922","100.000","Very Easy","0.152","1","1","","16","2","0","4.650","184","130","0","8","7","0","","","","","4060bfc5e268ec0a7c2aead3c4d3c17d","0.251","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/new-arrivals","2026-07-23 18:11:33"
"https://offlimits.co.in/collections/men-clothing","text/html; charset=utf-8","200","OK","Indexable","","Buy Sports Wear for Men Online at Best Price Upto 60% off","57","516","Shop from Latest Collection of Sports wear online. Get Workout Outfits Like T-shirts, Shorts, Hoodies, Tracksuit, graphic tees, joggers at OffLimits.","149","920","Men Clothing,OFFLIMITS,offlimits.co.in","38","Buy Sports Wear for Men Online at Best Price Upto 60% off, OFFLIMITS, offlimits.co.in","85","Men Clothing","12","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/men-clothing","","","","","","1440678","172379","172379","25.547","","800","433","1.848","100.000","Very Easy","0.486","1","1","","58","43","0","100.000","184","129","0","8","7","0","","","","","41d011ab9b82dac14f6dce0fa8515366","0.237","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/men-clothing","2026-07-23 18:11:36"
"https://offlimits.co.in/search/?view=wish","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","129","43","0","100.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://offlimits.co.in/search/?view=wish","2026-07-23 18:11:37"
"https://offlimits.co.in/collections/white-sneaker","text/html; charset=utf-8","200","OK","Indexable","","Buy White Sneakers For Men at Best Price in India","49","440","Shop white sneakers for men online in India. Discover stylish, comfortable, and durable white sneakers at Off Limits. Perfect for every occasion. Order today!","158","987","White Sneaker For Men,OFFLIMITS,offlimits.co.in","47","Buy White Sneakers For Men at Best Price in India, OFFLIMITS, offlimits.co.in","77","White Sneaker For Men","21","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/white-sneaker","","","","","","1682191","199741","199741","29.602","","820","433","1.894","100.000","Very Easy","0.428","1","1","","59","43","0","100.000","184","129","0","8","7","0","","","","","c8f559e93ad6c6197f771829df9b19b4","0.252","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/white-sneaker","2026-07-23 18:11:37"
"https://offlimits.co.in/collections/women-track-suits","text/html; charset=utf-8","200","OK","Indexable","","Buy the Latest Track Suits for Women Online","43","394","Shop the Latest Track Suits for Women Online From OffLimits. Explore the huge collection of Tracksuits for Women at best prices.","128","820","Women Track Suits,OFFLIMITS,offlimits.co.in","43","Buy the Latest Track Suits for Women Online, OFFLIMITS, offlimits.co.in","71","Women Track Suits","17","Why Tracksuit? Comfort Meets Functionality","42","Tracksuit Styles: Finding the Perfect Match for Every Woman","59","max-image-preview:large","","","https://offlimits.co.in/collections/women-track-suits","","","","","","1051632","144590","144590","21.428","","1340","434","3.088","90.122","Very Easy","1.020","1","1","","145","43","0","100.000","171","114","0","8","7","0","","","","","b4f367113312aee11d0a596fc4949248","0.213","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/women-track-suits","2026-07-23 18:11:38"
"https://offlimits.co.in/collections/men-walking","text/html; charset=utf-8","200","OK","Indexable","","Buy Walking Shoes for men Online at Best Price","46","421","Find premium walking shoes for men that combine comfort and style at Off Limits. Explore our collection of walking men shoes, perfect for every occasion.","153","976","Men Walking,OFFLIMITS,offlimits.co.in","37","Buy Walking Shoes for men Online at Best Price, OFFLIMITS, offlimits.co.in","74","Men Walking","11","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/men-walking","","","","","","799738","122665","122665","18.179","","248","129","1.922","100.000","Very Easy","0.476","1","1","","59","43","0","100.000","146","91","0","8","7","0","","","","","3ea518e19dea304b22d0d8bcc91e9f20","0.164","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/men-walking","2026-07-23 18:11:38"
"https://offlimits.co.in/pages/shipping-policy","text/html; charset=utf-8","200","OK","Indexable","","Shipping Policy for All Online Orders","37","317","We strive to deliver products purchased from OFFLIMITS in excellent condition and in the fastest time possible. Get Free Shipping On All Orders Above Rs.500.","157","998","Shipping Policy for All Online Orders,OFFLIMITS,offlimits.co.in","63","Shipping Policy for All Online Orders, OFFLIMITS, offlimits.co.in","65","Shipping Policy","15","","0","","0","max-image-preview:large","","","https://offlimits.co.in/pages/shipping-policy","","","","","","522726","97900","97900","14.509","","232","53","4.377","64.188","Normal","0.718","1","1","","53","43","0","100.000","125","76","0","8","7","0","","","","","41e963f6786aa5b530735494516f33fa","0.183","","","","","en","1.1","","","","","","https://offlimits.co.in/pages/shipping-policy","2026-07-23 18:11:39"
"https://offlimits.co.in/collections/women-lifestyle","text/html; charset=utf-8","200","OK","Indexable","","Shop Trendy Women's Lifestyle Shoes Online | Off Limits","55","499","Explore women's lifestyle shoes and sneakers crafted for everyday comfort, fashion and versatility. Walk in comfort, shop at Off Limits.","136","850","Women's Lifestyle Shoes,OFFLIMITS,offlimits.co.in","49","Shop Trendy Women's Lifestyle Shoes Online | Off Limits, OFFLIMITS, offlimits.co.in","83","Women's Lifestyle Shoes","23","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/women-lifestyle","","","","","","1095511","143300","143300","21.237","","648","313","2.070","100.000","Very Easy","0.548","1","1","","58","43","0","100.000","169","114","0","8","7","0","","","","","9b001813b2f09e8181e856f4d4ae4cd1","0.200","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/women-lifestyle","2026-07-23 18:11:39"
