"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://offlimits.co.in/","8","STEP INTO OUR TRIBE","19","BEYOND LIMITS, WITHIN REACH","27","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","6","Why Tracksuit? Comfort Meets Functionality","42","Tracksuit Styles: Finding the Perfect Match for Every Woman","59","Indexable",""
"https://offlimits.co.in/collections/women-shoes","7","OffLimits Shoes for Women, Power Moves in Every Step","52","Why Shoes For Women Are a Must-Have","35","Indexable",""
"https://offlimits.co.in/collections/women-sneakers","8","Sneakers for Women That Are Designed to Perform","47","The Evolution of Women's Sneakers","33","Indexable",""
"https://offlimits.co.in/collections/men-basketball","7","Choosing the Right Basketball Shoes","35","Why the Right Basketball Shoes Matter","37","Indexable",""
"https://offlimits.co.in/collections/mens-sneakers","7","Sneakers for Men","16","The Rapid Rise of Sneakers in Men’s Fashion","43","Indexable",""
"https://offlimits.co.in/collections/big-tall","7","Big and Tall – Shoes for Sizes 12, 13, 14","41","The Struggle Is Real: Why Big Feet Need Special Attention","57","Indexable",""
"https://offlimits.co.in/collections/women-sandals-sliders","8","Sandals For Women","17","Featured Picks from Our Collection","34","Indexable",""
"https://offlimits.co.in/collections/women-gym-training","5","Discover Gym Shoes for Women That Keep Up With You","50","Why Gym Shoes for Women Are a Must-Have","39","Indexable",""
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","7","Offlimits Men’s Graphic Tees | Bold Statement Tees for Everyday Hustle","70","Quick Answer – What are graphic tees?","37","Indexable",""
