"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://offlimits.co.in/","1","Indexable","","https://offlimits.co.in/","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-clothing","1","Indexable","","https://offlimits.co.in/collections/men-clothing","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/white-sneaker","1","Indexable","","https://offlimits.co.in/collections/white-sneaker","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-track-suits","1","Indexable","","https://offlimits.co.in/collections/women-track-suits","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-walking","1","Indexable","","https://offlimits.co.in/collections/women-walking","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals","1","Indexable","","https://offlimits.co.in/collections/new-arrivals","","max-image-preview:large","","https://offlimits.co.in/collections/new-arrivals?page=2","","",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","Indexable","","https://offlimits.co.in/collections/s-w-a-t-men","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/sparta-pro-blue-orange-orm-795-03","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-track-suits","1","Indexable","","https://offlimits.co.in/collections/men-track-suits","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/basketball-boots","1","Indexable","","https://offlimits.co.in/collections/basketball-boots","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-shorts","1","Indexable","","https://offlimits.co.in/collections/men-shorts","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-sweatshirts","1","Indexable","","https://offlimits.co.in/collections/men-sweatshirts","","max-image-preview:large","","","","",""
"https://offlimits.co.in/pages/store-gallery","1","Indexable","","https://offlimits.co.in/pages/store-gallery","","max-image-preview:large","","","","",""
"https://offlimits.co.in/pages/sitemap","1","Indexable","","https://offlimits.co.in/pages/sitemap","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Indexable","","https://offlimits.co.in/collections/casual-shoes-men","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","Indexable","","https://offlimits.co.in/collections/high-top-shoes-for-men","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/splash-mode-for-her-white-ocw-926-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-clothing","1","Indexable","","https://offlimits.co.in/collections/women-clothing","","max-image-preview:large","","","","",""
"https://offlimits.co.in/pages/privacy-policy","1","Indexable","","https://offlimits.co.in/pages/privacy-policy","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women","1","Indexable","","https://offlimits.co.in/collections/women","","max-image-preview:large","","https://offlimits.co.in/collections/women?page=2","","",""
"https://offlimits.co.in/collections/men-running-shoes","1","Indexable","","https://offlimits.co.in/collections/men-running-shoes","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-bestsellers","1","Indexable","","https://offlimits.co.in/collections/women-bestsellers","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/roger-select-black-silver-ocm-915-08","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-gym-training","1","Indexable","","https://offlimits.co.in/collections/men-gym-training","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-running-gym","1","Indexable","","https://offlimits.co.in/collections/women-running-gym","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/unbound-teal-orm-855-06","","max-image-preview:large","","","","",""
"https://offlimits.co.in/pages/return-exchange","1","Indexable","","https://offlimits.co.in/pages/return-exchange","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","Indexable","","https://offlimits.co.in/collections/white-shoes-for-men","","max-image-preview:large","","","","",""
