"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://offlimits.co.in/","520","204","2.549","78.975","Fairly Easy","","","","","","","","","","en","f3e3ee2ae2976e1b43fd1cae0037fd07","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","883","230","3.839","78.098","Fairly Easy","","","","","","","","","","en","c7a4582f20d211225a341ab376fb5184","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-clothing","800","433","1.848","100.000","Very Easy","","","","","","","","","","en","151e69128b36e30bb942545d3b2dcad7","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","820","433","1.894","100.000","Very Easy","","","","","","","","","","en","a5f8f07dfb96174bf9d948091f516e11","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1340","434","3.088","90.122","Very Easy","","","","","","","","","","en","5880de37387eff0235aba58ffb737e6f","Indexable",""
"https://offlimits.co.in/collections/women-walking","382","186","2.054","100.000","Very Easy","","","","","","","","","","en","fae6b9f89cafabed2e22b1ea7b278a8d","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","836","435","1.922","100.000","Very Easy","","","","","","","","","","en","e8e7d4378ed06347db7bd1f1320473c0","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","399","270","1.478","100.000","Very Easy","","","","","","","","","","en","90514ef718e4d19b7fa5fe39d2707671","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","591","172","3.436","83.819","Easy","","","","","","","","","","en","a5eb16cedf1357280bd05fd903e87685","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-track-suits","1533","515","2.977","98.684","Very Easy","","","","","","","","","","en","417390ee5da22ede6d35998ebff8ee8","Indexable",""
"https://offlimits.co.in/collections/basketball-boots","838","498","1.683","100.000","Very Easy","","","","","","","","","","en","80721b26568c10cbcd4f62a37cf43d33","Indexable",""
"https://offlimits.co.in/collections/men-shorts","144","65","2.215","80.624","Easy","","","","","","","","","","en","af2a37a3656a5a29a5f4628c78ae4c1a","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","190","89","2.135","96.914","Very Easy","","","","","","","","","","en","95d6a6131c6e56bb18b37bf65ca03c4f","Indexable",""
"https://offlimits.co.in/pages/store-gallery","95","32","2.969","48.870","Hard","","","","","","","","","","en","aa3181eb3aeaf20a096e60e417a88c19","Indexable",""
"https://offlimits.co.in/pages/sitemap","2469","533","4.632","100.000","Very Easy","","","","","","","","","","en","ec837a70496d3916f5a7cfbfd1aa1a3b","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1691","552","3.063","100.000","Very Easy","","","","","","","","","","en","55adaa00ae086e264d29621645b52c72","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1640","584","2.808","100.000","Very Easy","","","","","","","","","","en","458fe1c6678ab629c49ae17574b86a8c","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","586","163","3.595","88.269","Easy","","","","","","","","","","en","7c4bbc7c3cb908b70d647d6f2fef3c3","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-clothing","818","433","1.889","100.000","Very Easy","","","","","","","","","","en","78d880eb1f1ae7ae6dcffcdaf7bbd2f3","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","2798","366","7.645","62.621","Normal","","","","","","","","","","en","e6299835bf51e369bb47e781b4eb8a9","Indexable",""
"https://offlimits.co.in/collections/women","872","443","1.968","100.000","Very Easy","","","","","","","","","","en","65d334117ce973b7de30fa1935a89e81","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1753","585","2.997","97.283","Very Easy","","","","","","","","","","en","b76346d75a82a1374c2278976efc7a8f","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","764","189","4.042","75.721","Fairly Easy","","","","","","","","","","en","f9d55157a96a9cf922709dc0d335fc09","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-bestsellers","187","81","2.309","91.843","Very Easy","","","","","","","","","","en","c6d0850fbf57cf85cf336c1bb389da2b","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","594","174","3.414","82.737","Easy","","","","","","","","","","en","2d34c8cdce40dae8851bd21f7c476f7e","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","917","210","4.367","72.689","Fairly Easy","","","","","","","","","","en","51a04e32ea443f899c68b2d7368a7fac","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-gym-training","1572","538","2.922","98.765","Very Easy","","","","","","","","","","en","56c4e04a79531910c3f3050231ab5531","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","867","434","1.998","100.000","Very Easy","","","","","","","","","","en","7217f71877b8725e9813e1d2f4409277","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","975","220","4.432","70.274","Fairly Easy","","","","","","","","","","en","9cbd4167e6221102c97defcbfa6c25ae","Non-Indexable","Canonicalised"
"https://offlimits.co.in/pages/return-exchange","392","68","5.765","67.825","Normal","","","","","","","","","","en","eb2e8dda65543824329a86796ebfc380","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1615","551","2.931","100.000","Very Easy","","","","","","","","","","en","1d53a10c43109c2be915d601587796fd","Indexable",""
