"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://offlimits.co.in/","1","max-image-preview:large","","","https://offlimits.co.in/","","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","1","max-image-preview:large","","","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-clothing","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-clothing","","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","1","max-image-preview:large","","","https://offlimits.co.in/collections/white-sneaker","","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-track-suits","","Indexable",""
"https://offlimits.co.in/collections/women-walking","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-walking","","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","1","max-image-preview:large","","","https://offlimits.co.in/collections/new-arrivals","","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/s-w-a-t-men","","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","1","max-image-preview:large","","","https://offlimits.co.in/products/sparta-pro-blue-orange-orm-795-03","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-track-suits","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-track-suits","","Indexable",""
"https://offlimits.co.in/cdn/shop/t/69/assets/lazysizes.min.js?v=69261028471810094311782293440","0","","","","","https://cdn.shopify.com/s/files/1/0549/2926/0637/t/69/assets/lazysizes.min.js","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/basketball-boots","1","max-image-preview:large","","","https://offlimits.co.in/collections/basketball-boots","","Indexable",""
"https://offlimits.co.in/collections/men-shorts","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-shorts","","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-sweatshirts","","Indexable",""
"https://offlimits.co.in/pages/store-gallery","1","max-image-preview:large","","","https://offlimits.co.in/pages/store-gallery","","Indexable",""
"https://offlimits.co.in/pages/sitemap","1","max-image-preview:large","","","https://offlimits.co.in/pages/sitemap","","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/casual-shoes-men","","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/high-top-shoes-for-men","","Indexable",""
"https://offlimits.co.in/cdn/shop/t/69/assets/pre_theme.min.css?v=129192094572269363051782293440","0","","","","","https://cdn.shopify.com/s/files/1/0549/2926/0637/t/69/assets/pre_theme.min.css","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","1","max-image-preview:large","","","https://offlimits.co.in/products/splash-mode-for-her-white-ocw-926-02","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-clothing","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-clothing","","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","1","max-image-preview:large","","","https://offlimits.co.in/pages/privacy-policy","","Indexable",""
"https://offlimits.co.in/collections/women","1","max-image-preview:large","","","https://offlimits.co.in/collections/women","","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-running-shoes","","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","1","max-image-preview:large","","","https://offlimits.co.in/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-bestsellers","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-bestsellers","","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","1","max-image-preview:large","","","https://offlimits.co.in/products/roger-select-black-silver-ocm-915-08","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","1","max-image-preview:large","","","https://offlimits.co.in/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-gym-training","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-gym-training","","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-running-gym","","Indexable",""
