"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://offlimits.co.in/","1","Sports Shoes, Sneakers & athleisure wear for Men & Women","56","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","1","Gladiator Off White Men's Sneakers","34","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-clothing","1","Men Clothing","12","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","1","White Sneaker For Men","21","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1","Women Track Suits","17","Indexable",""
"https://offlimits.co.in/collections/women-walking","1","Women's Walking Shoes","21","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","1","New Arrivals","12","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","Men's SWAT Tactical Boots","25","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","1","Blue/Orange Lace Up Running & Gym Shoe For Men","46","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-track-suits","1","Men Track Suits","15","Indexable",""
"https://offlimits.co.in/collections/basketball-boots","1","Men's Basketball Shoes & Boots","30","Indexable",""
"https://offlimits.co.in/collections/men-shorts","1","Men's Sports Shorts","19","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","1","Men's Sweatshirts","17","Indexable",""
"https://offlimits.co.in/pages/store-gallery","1","Store Gallery","13","Indexable",""
"https://offlimits.co.in/pages/sitemap","1","Sitemap","7","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Men's Casual Shoes","18","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","Men's High Top Sneakers","23","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","1","White Lace-Up Sneakers For Women","32","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-clothing","1","Women's Athleisure & Clothing","29","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","1","Privacy Policy","14","Indexable",""
"https://offlimits.co.in/collections/women","1","Women's Shoes, Sneakers & Athleisure","36","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Men's Running Shoes","19","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","1","Off white/Yellow/Purple Sandals & Sliders For Men","49","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-bestsellers","1","Best Selling Women's Shoes & Athleisure","39","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","1","Black/Silver Lace-Up Casual Shoes For Men","41","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","1","Off White/R Blue Lace-Up Basketball And Boots For Men","53","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-gym-training","1","Men's Gym & Training Shoes","26","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","1","Women's Running & Gym Shoes","27","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","1","Teal Lace Up Running & Gym Shoe For Men","39","Non-Indexable","Canonicalised"
"https://offlimits.co.in/pages/return-exchange","1","Returns & Exchanges Policy","26","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","White Shoes for Men","19","Indexable",""
