"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://offlimits.co.in/","8","STEP INTO OUR TRIBE","19","BEYOND LIMITS, WITHIN REACH","27","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-clothing","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","6","Why Tracksuit? Comfort Meets Functionality","42","Tracksuit Styles: Finding the Perfect Match for Every Woman","59","Indexable",""
"https://offlimits.co.in/collections/women-walking","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-track-suits","7","Tracksuits for Men","18","Offlimits Tracksuits for Men: A Blend of Sporty and Casual","58","Indexable",""
"https://offlimits.co.in/collections/basketball-boots","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-shorts","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","0","","0","","0","Indexable",""
"https://offlimits.co.in/pages/store-gallery","5","Off Limits Store - Sonipat","26","Off Limits Store - Jaggi Mall","29","Indexable",""
"https://offlimits.co.in/pages/sitemap","3","Collections","11","Blogs","5","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Casual Shoes For Men: How OffLimits Keeps Your Moves Stylish & Easy","67","","0","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","High-Top Shoes For Men That Keep Up With Real Life","50","","0","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-clothing","0","","0","","0","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Running Shoes for Men: Step Up Your Game with Offlimits","55","","0","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-bestsellers","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-gym-training","1","Training Shoes for Men. No Distractions. Just Performance.","58","","0","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","1","Customer Reviews","16","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/pages/return-exchange","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","White Shoes For Men | Style Meets Comfort With OffLimits","56","","0","Indexable",""
