"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","Meta Keywords 2","Meta Keywords 2 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://offlimits.co.in/","text/html; charset=utf-8","200","OK","Indexable","","OFF LIMITS - Sports Shoes, Sneakers & Athleisure Apparel Online","63","573","Shop Sports Shoes, Sneakers, Gym Footwear, and Athleisure Apparel for men & women. Discover stylish, performance-driven collections at Off Limits.","146","949","OFFLIMITS, offlimits.co.in","26","","0","Sports Shoes, Sneakers & athleisure wear for Men & Women","56","STEP INTO OUR TRIBE","19","BEYOND LIMITS, WITHIN REACH","27","max-image-preview:large","","","https://offlimits.co.in/","","","","","","601210","107072","107072","15.868","","520","204","2.549","78.975","Fairly Easy","0.977","0","0","","105","31","0","100.000","159","97","0","11","10","0","","","","","f3e3ee2ae2976e1b43fd1cae0037fd07","0.453","","","","","en","1.1","","","","","","https://offlimits.co.in/","2026-07-23 16:59:14"
"https://offlimits.co.in/search/?view=wish","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","93","31","0","100.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://offlimits.co.in/search/?view=wish","2026-07-23 16:59:18"
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Buy Gladiator Off White Sneakers for Men Online | Off Limits","60","530","Shop Gladiator Off White sneakers featuring lightweight comfort, modern styling and everyday versatility. Find your perfect pair at Off Limits.","143","886","GLADIATOR - OFF WHITE,OFFLIMITS,offlimits.co.in","47","Buy Gladiator Off White Sneakers for Men Online | Off Limits, OFFLIMITS, offlimits.co.in","88","Gladiator Off White Men's Sneakers","34","Customer Reviews","16","","0","max-image-preview:large","","","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","","","","","","844599","151570","151570","22.463","","883","230","3.839","78.098","Fairly Easy","0.906","1","3","","17","2","0","6.450","132","78","0","11","10","0","","","","","c7a4582f20d211225a341ab376fb5184","0.436","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","2026-07-23 16:59:18"
"https://offlimits.co.in/collections/men-clothing","text/html; charset=utf-8","200","OK","Indexable","","Buy Sports Wear for Men Online at Best Price Upto 60% off","57","516","Shop from Latest Collection of Sports wear online. Get Workout Outfits Like T-shirts, Shorts, Hoodies, Tracksuit, graphic tees, joggers at OffLimits.","149","920","Men Clothing,OFFLIMITS,offlimits.co.in","38","Buy Sports Wear for Men Online at Best Price Upto 60% off, OFFLIMITS, offlimits.co.in","85","Men Clothing","12","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/men-clothing","","","","","","1440678","172400","172400","25.550","","800","433","1.848","100.000","Very Easy","0.486","1","1","","47","31","0","100.000","184","129","0","8","7","0","","","","","151e69128b36e30bb942545d3b2dcad7","0.801","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/men-clothing","2026-07-23 16:59:18"
"https://offlimits.co.in/collections/white-sneaker","text/html; charset=utf-8","200","OK","Indexable","","Buy White Sneakers For Men at Best Price in India","49","440","Shop white sneakers for men online in India. Discover stylish, comfortable, and durable white sneakers at Off Limits. Perfect for every occasion. Order today!","158","987","White Sneaker For Men,OFFLIMITS,offlimits.co.in","47","Buy White Sneakers For Men at Best Price in India, OFFLIMITS, offlimits.co.in","77","White Sneaker For Men","21","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/white-sneaker","","","","","","1682191","199754","199754","29.604","","820","433","1.894","100.000","Very Easy","0.428","1","1","","50","31","0","100.000","184","129","0","8","7","0","","","","","a5f8f07dfb96174bf9d948091f516e11","0.700","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/white-sneaker","2026-07-23 16:59:18"
"https://offlimits.co.in/collections/women-track-suits","text/html; charset=utf-8","200","OK","Indexable","","Buy the Latest Track Suits for Women Online","43","394","Shop the Latest Track Suits for Women Online From OffLimits. Explore the huge collection of Tracksuits for Women at best prices.","128","820","Women Track Suits,OFFLIMITS,offlimits.co.in","43","Buy the Latest Track Suits for Women Online, OFFLIMITS, offlimits.co.in","71","Women Track Suits","17","Why Tracksuit? Comfort Meets Functionality","42","Tracksuit Styles: Finding the Perfect Match for Every Woman","59","max-image-preview:large","","","https://offlimits.co.in/collections/women-track-suits","","","","","","1051632","144602","144602","21.430","","1340","434","3.088","90.122","Very Easy","1.020","1","1","","111","31","0","100.000","171","114","0","8","7","0","","","","","5880de37387eff0235aba58ffb737e6f","0.673","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/women-track-suits","2026-07-23 16:59:19"
"https://offlimits.co.in/cart","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","93","31","0","100.000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://offlimits.co.in/cart","2026-07-23 16:59:21"
"https://offlimits.co.in/collections/women-walking","text/html; charset=utf-8","200","OK","Indexable","","Women's Walking Shoes for Comfort & Everyday Support | Off Limits","65","602","Explore women's walking shoes designed for comfort, cushioning and all-day support. Perfect for daily walks, travel and active lifestyles. Buy now!","147","921","Women's Walking Shoes,OFFLIMITS,offlimits.co.in","47","Women's Walking Shoes for Comfort & Everyday Support | Off Limits, OFFLIMITS, offlimits.co.in","93","Women's Walking Shoes","21","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/women-walking","","","","","","778174","119588","119588","17.723","","382","186","2.054","100.000","Very Easy","0.586","1","1","","78","31","0","100.000","153","98","0","8","7","0","","","","","fae6b9f89cafabed2e22b1ea7b278a8d","0.467","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/women-walking","2026-07-23 16:59:20"
"https://offlimits.co.in/collections/new-arrivals","text/html; charset=utf-8","200","OK","Indexable","","Shop New Arrivals Collection Online at Offlimits","48","419","Discover the latest shoe arrivals at Offlimits. Elevate your style with our newest collection of trendy and comfortable footwear.","129","796","New Arrivals,OFFLIMITS,offlimits.co.in","38","Shop New Arrivals Collection Online at Offlimits, OFFLIMITS, offlimits.co.in","76","New Arrivals","12","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/new-arrivals","https://offlimits.co.in/collections/new-arrivals?page=2","","","","","4822030","456657","456657","67.677","","836","435","1.922","100.000","Very Easy","0.152","1","1","","17","3","0","9.680","184","130","0","8","7","0","","","","","e8e7d4378ed06347db7bd1f1320473c0","1.234","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/new-arrivals","2026-07-23 16:59:18"
"https://offlimits.co.in/collections/s-w-a-t-men","text/html; charset=utf-8","200","OK","Indexable","","Buy Men's SWAT Boots Online – Tactical Footwear | Off Limits","60","551","Discover SWAT men's sports shoes built for training, workouts and everyday performance with superior comfort and style. Walk in comfort, shop at Off Limits.","156","996","Men's SWAT Tactical Boots,OFFLIMITS,offlimits.co.in","51","Buy Men's SWAT Boots Online – Tactical Footwear | Off Limits, OFFLIMITS, offlimits.co.in","88","Men's SWAT Tactical Boots","25","","0","","0","max-image-preview:large","","","https://offlimits.co.in/collections/s-w-a-t-men","","","","","","944185","131465","131465","19.483","","399","270","1.478","100.000","Very Easy","0.512","1","1","","47","31","0","100.000","154","99","0","8","7","0","","","","","90514ef718e4d19b7fa5fe39d2707671","0.528","","","","","en","1.1","","","","","","https://offlimits.co.in/collections/s-w-a-t-men","2026-07-23 16:59:20"
