"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_11_2x_c8ab0a7c-97c0-460d-9505-5bb348f5420d.webp?v=1749454119","UNLOCK YOUR","11","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_rdtMER']/div/div/a/div[1]/div[@class='custom_unlock_inner']/div[@class='custom_unlock_image'][1]/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][1]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][2]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][3]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][4]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][5]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][6]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][7]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][8]/span[7]/span/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_43.svg?v=1714465742","VALUE-DRIVEN PERFORMANCE","24","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_x3j4a6']/div/div/marquee/div[@class='slider-marq'][9]/span[7]/span/img","Content","HTML","","",""
