"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/search","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[1]/div/div/a[1]","Header","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/account","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[1]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/search/?view=wish","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[1]/div/div/a[2]","Header","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/search","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[4]/div/a[1]","Header","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/account","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[4]/div/div[1]/a","Header","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/search/?view=wish","0","","","0","Blocked by robots.txt","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[4]/div/a[2]","Header","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/mens-running-gym-shoes","9360","","","429","Too Many Requests","Crawlable","true","_self","","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-1581505806578']/div/div/div[@id='nt_img_rqpJyQ']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/stussy","9291","","","429","Too Many Requests","Crawlable","true","_self","","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-1581505806578']/div/div/div[@id='nt_img_xefKR6']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/big-tall","9297","","","429","Too Many Requests","Crawlable","true","_self","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-1581505806578']/div/div/div[@id='nt_img_Dkxgmh']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/mens-sneakers","9312","","","429","Too Many Requests","Crawlable","true","_self","","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-1581505806578']/div/div/div[@id='nt_img_ryPWWM']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/skate-sneakers","9315","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-collection_list_w9kqc3']/div/div[2]/div[@id='nt_collection_Q64tEG']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/performance","9306","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-collection_list_w9kqc3']/div/div[2]/div[@id='nt_collection_9NCDjj']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/leather-shoes","9312","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-collection_list_w9kqc3']/div/div[2]/div[@id='nt_collection_3Cz3n8']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/stussy","9291","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-collection_list_w9kqc3']/div/div[2]/div[@id='nt_collection_CLgYd9']/div/a","Content","HTML"
