"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://offlimits.co.in/collections/men-clothing/products/otm-161-02-mens-sp-cns-stripe-hood-ts-white-navy-otm-161-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/men-clothing/products/otm-161-02-mens-sp-cns-stripe-hood-ts-white-navy-otm-161-02"
"https://offlimits.co.in/collections/women-track-suits/products/womens-pcf-cns-hood-ts-2-zipper-hooded-tracksuits-otw-150-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","123","","https://offlimits.co.in/collections/women-track-suits/products/womens-pcf-cns-hood-ts-2-zipper-hooded-tracksuits-otw-150-01"
"https://offlimits.co.in/collections/women-track-suits/products/women-north-tracksuit-light-grey-neon-green-otw-153-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/women-track-suits/products/women-north-tracksuit-light-grey-neon-green-otw-153-01"
"https://offlimits.co.in/collections/s-w-a-t-men/products/s-w-a-t-sports-edition-light-grey-off-white-light-grey-orm-599-07","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","122","","https://offlimits.co.in/collections/s-w-a-t-men/products/s-w-a-t-sports-edition-light-grey-off-white-light-grey-orm-599-07"
"https://offlimits.co.in/collections/men-track-suits/products/mens-pcf-cns-fo-hooded-full-zipper-tracksuits-otm-332-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/men-track-suits/products/mens-pcf-cns-fo-hooded-full-zipper-tracksuits-otm-332-01"
"https://offlimits.co.in/collections/men-track-suits/products/otm-161-02-mens-sp-cns-stripe-hood-ts-white-navy-otm-161-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","120","","https://offlimits.co.in/collections/men-track-suits/products/otm-161-02-mens-sp-cns-stripe-hood-ts-white-navy-otm-161-02"
"https://offlimits.co.in/collections/basketball-boots/products/baseline-23-charlotte-hornetscharlotte-hornetspurple-teal-black-ocm-828-05","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","136","","https://offlimits.co.in/collections/basketball-boots/products/baseline-23-charlotte-hornetscharlotte-hornetspurple-teal-black-ocm-828-05"
"https://offlimits.co.in/collections/basketball-boots/products/baseline-23-chicago-bulls-off-white-red-black-ocm-828-04","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","118","","https://offlimits.co.in/collections/basketball-boots/products/baseline-23-chicago-bulls-off-white-red-black-ocm-828-04"
"https://offlimits.co.in/collections/basketball-boots/products/s-w-a-t-trail-edition-sage-green-white-black-ocm-681-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/basketball-boots/products/s-w-a-t-trail-edition-sage-green-white-black-ocm-681-01"
"https://offlimits.co.in/collections/basketball-boots/products/s-w-a-t-sports-edition-light-grey-off-white-light-grey-orm-599-07","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","127","","https://offlimits.co.in/collections/basketball-boots/products/s-w-a-t-sports-edition-light-grey-off-white-light-grey-orm-599-07"
