"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://offlimits.co.in/","Indexable","","0","","105","31","0","100.000","159","97","0","11","10","0"
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","11","10","0"
"https://offlimits.co.in/collections/men-clothing","Indexable","","1","","47","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/collections/white-sneaker","Indexable","","1","","50","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/collections/women-track-suits","Indexable","","1","","111","31","0","100.000","171","114","0","8","7","0"
"https://offlimits.co.in/collections/women-walking","Indexable","","1","","78","31","0","100.000","153","98","0","8","7","0"
"https://offlimits.co.in/collections/new-arrivals","Indexable","","1","","17","3","0","9.680","184","130","0","8","7","0"
"https://offlimits.co.in/collections/s-w-a-t-men","Indexable","","1","","47","31","0","100.000","154","99","0","8","7","0"
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","8","7","0"
"https://offlimits.co.in/collections/men-track-suits","Indexable","","1","","142","31","0","100.000","182","126","0","8","7","0"
"https://offlimits.co.in/collections/basketball-boots","Indexable","","1","","47","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/collections/men-shorts","Indexable","","1","","47","31","0","100.000","138","83","0","8","7","0"
"https://offlimits.co.in/collections/men-sweatshirts","Indexable","","1","","47","31","0","100.000","141","86","0","8","7","0"
"https://offlimits.co.in/pages/store-gallery","Indexable","","1","","41","31","0","100.000","125","76","0","8","7","0"
"https://offlimits.co.in/pages/sitemap","Indexable","","1","","41","31","0","100.000","547","444","0","8","7","0"
"https://offlimits.co.in/collections/casual-shoes-men","Indexable","","1","","47","31","0","100.000","195","130","0","8","7","0"
"https://offlimits.co.in/collections/high-top-shoes-for-men","Indexable","","1","","47","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","8","7","0"
"https://offlimits.co.in/collections/women-clothing","Indexable","","1","","47","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/pages/privacy-policy","Indexable","","1","","41","31","0","100.000","125","76","0","8","7","0"
"https://offlimits.co.in/collections/women","Indexable","","1","","78","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/collections/men-running-shoes","Indexable","","1","","49","31","0","100.000","190","131","0","8","7","0"
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","8","7","0"
"https://offlimits.co.in/collections/women-bestsellers","Indexable","","1","","47","31","0","100.000","140","85","0","8","7","0"
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","8","7","0"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","8","7","0"
"https://offlimits.co.in/collections/men-gym-training","Indexable","","1","","48","31","0","100.000","186","127","0","8","7","0"
"https://offlimits.co.in/collections/women-running-gym","Indexable","","1","","47","31","0","100.000","184","129","0","8","7","0"
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","Non-Indexable","Canonicalised","1","","17","2","0","6.450","132","78","0","8","7","0"
"https://offlimits.co.in/pages/return-exchange","Indexable","","1","","41","31","0","100.000","125","76","0","8","7","0"
"https://offlimits.co.in/collections/white-shoes-for-men","Indexable","","1","","49","31","0","100.000","188","130","0","8","7","0"
