"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://offlimits.co.in/","text/html; charset=utf-8","200","OK","Indexable","","f3e3ee2ae2976e1b43fd1cae0037fd07","24","https://offlimits.co.in/","https://offlimits.co.in/"
"https://offlimits.co.in/search/?view=wish","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","41","","https://offlimits.co.in/search/?view=wish"
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","c7a4582f20d211225a341ab376fb5184","92","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02"
"https://offlimits.co.in/collections/men-clothing","text/html; charset=utf-8","200","OK","Indexable","","151e69128b36e30bb942545d3b2dcad7","48","https://offlimits.co.in/collections/men-clothing","https://offlimits.co.in/collections/men-clothing"
"https://offlimits.co.in/collections/white-sneaker","text/html; charset=utf-8","200","OK","Indexable","","a5f8f07dfb96174bf9d948091f516e11","49","https://offlimits.co.in/collections/white-sneaker","https://offlimits.co.in/collections/white-sneaker"
"https://offlimits.co.in/collections/women-track-suits","text/html; charset=utf-8","200","OK","Indexable","","5880de37387eff0235aba58ffb737e6f","53","https://offlimits.co.in/collections/women-track-suits","https://offlimits.co.in/collections/women-track-suits"
"https://offlimits.co.in/cart","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","28","","https://offlimits.co.in/cart"
"https://offlimits.co.in/collections/women-walking","text/html; charset=utf-8","200","OK","Indexable","","fae6b9f89cafabed2e22b1ea7b278a8d","49","https://offlimits.co.in/collections/women-walking","https://offlimits.co.in/collections/women-walking"
"https://offlimits.co.in/collections/new-arrivals","text/html; charset=utf-8","200","OK","Indexable","","e8e7d4378ed06347db7bd1f1320473c0","48","https://offlimits.co.in/collections/new-arrivals","https://offlimits.co.in/collections/new-arrivals"
"https://offlimits.co.in/collections/s-w-a-t-men","text/html; charset=utf-8","200","OK","Indexable","","90514ef718e4d19b7fa5fe39d2707671","47","https://offlimits.co.in/collections/s-w-a-t-men","https://offlimits.co.in/collections/s-w-a-t-men"
"https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","a5eb16cedf1357280bd05fd903e87685","95","https://offlimits.co.in/products/sparta-pro-blue-orange-orm-795-03","https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03"
"https://offlimits.co.in/collections/men-track-suits","text/html; charset=utf-8","200","OK","Indexable","","417390ee5da22ede6d35998ebff8ee8","51","https://offlimits.co.in/collections/men-track-suits","https://offlimits.co.in/collections/men-track-suits"
"https://offlimits.co.in/policies/terms-of-service","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","49","","https://offlimits.co.in/policies/terms-of-service"
"https://offlimits.co.in/cdn/shop/t/69/assets/lazysizes.min.js?v=69261028471810094311782293440","text/javascript","200","OK","Non-Indexable","Canonicalised","","93","","https://offlimits.co.in/cdn/shop/t/69/assets/lazysizes.min.js?v=69261028471810094311782293440"
"https://offlimits.co.in/collections/mens-footwear","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","49","","https://offlimits.co.in/collections/mens-footwear"
"https://offlimits.co.in/collections/basketball-boots","text/html; charset=utf-8","200","OK","Indexable","","80721b26568c10cbcd4f62a37cf43d33","52","https://offlimits.co.in/collections/basketball-boots","https://offlimits.co.in/collections/basketball-boots"
"https://offlimits.co.in/collections/men-shorts","text/html; charset=utf-8","200","OK","Indexable","","af2a37a3656a5a29a5f4628c78ae4c1a","46","https://offlimits.co.in/collections/men-shorts","https://offlimits.co.in/collections/men-shorts"
"https://offlimits.co.in/collections/men-running-gym","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","51","","https://offlimits.co.in/collections/men-running-gym"
"https://offlimits.co.in/account","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","31","","https://offlimits.co.in/account"
"https://offlimits.co.in/collections/men-sweatshirts","text/html; charset=utf-8","200","OK","Indexable","","95d6a6131c6e56bb18b37bf65ca03c4f","51","https://offlimits.co.in/collections/men-sweatshirts","https://offlimits.co.in/collections/men-sweatshirts"
"https://offlimits.co.in/pages/store-gallery","text/html; charset=utf-8","200","OK","Indexable","","aa3181eb3aeaf20a096e60e417a88c19","43","https://offlimits.co.in/pages/store-gallery","https://offlimits.co.in/pages/store-gallery"
"https://offlimits.co.in/pages/sitemap","text/html; charset=utf-8","200","OK","Indexable","","ec837a70496d3916f5a7cfbfd1aa1a3b","37","https://offlimits.co.in/pages/sitemap","https://offlimits.co.in/pages/sitemap"
"https://offlimits.co.in/collections/casual-shoes-men","text/html; charset=utf-8","200","OK","Indexable","","55adaa00ae086e264d29621645b52c72","52","https://offlimits.co.in/collections/casual-shoes-men","https://offlimits.co.in/collections/casual-shoes-men"
"https://offlimits.co.in/collections/high-top-shoes-for-men","text/html; charset=utf-8","200","OK","Indexable","","458fe1c6678ab629c49ae17574b86a8c","58","https://offlimits.co.in/collections/high-top-shoes-for-men","https://offlimits.co.in/collections/high-top-shoes-for-men"
"https://offlimits.co.in/cdn/shop/t/69/assets/pre_theme.min.css?v=129192094572269363051782293440","text/css","200","OK","Non-Indexable","Canonicalised","","95","","https://offlimits.co.in/cdn/shop/t/69/assets/pre_theme.min.css?v=129192094572269363051782293440"
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","7c4bbc7c3cb908b70d647d6f2fef3c3","99","https://offlimits.co.in/products/splash-mode-for-her-white-ocw-926-02","https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02"
"https://offlimits.co.in/collections/women-clothing","text/html; charset=utf-8","200","OK","Indexable","","78d880eb1f1ae7ae6dcffcdaf7bbd2f3","50","https://offlimits.co.in/collections/women-clothing","https://offlimits.co.in/collections/women-clothing"
"https://offlimits.co.in/pages/privacy-policy","text/html; charset=utf-8","200","OK","Indexable","","e6299835bf51e369bb47e781b4eb8a9","44","https://offlimits.co.in/pages/privacy-policy","https://offlimits.co.in/pages/privacy-policy"
"https://offlimits.co.in/collections/women","text/html; charset=utf-8","200","OK","Indexable","","65d334117ce973b7de30fa1935a89e81","41","https://offlimits.co.in/collections/women","https://offlimits.co.in/collections/women"
"https://offlimits.co.in/collections/men-running-shoes","text/html; charset=utf-8","200","OK","Indexable","","b76346d75a82a1374c2278976efc7a8f","53","https://offlimits.co.in/collections/men-running-shoes","https://offlimits.co.in/collections/men-running-shoes"
