"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-bestsellers/products/swat-orm-600-03","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/swat-orm-600-03","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/griffith-big-tall-off-white-green-ocm-936-05","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/hoop-off-white-honey-orm-867-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/hoop-off-white-honey-orm-867-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-bestsellers/products/stussy-memory-tech-1-orm-407-08","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/stussy-memory-tech-1-orm-407-08","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-blue-ocm-915-12","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/roger-select-blue-ocm-915-12","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-running-shoes/products/gladiator-off-white-orm-661-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-shorts/products/mens-pol-cns-mesh-shorts-obm-77-01","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/mens-pol-cns-mesh-shorts-obm-77-01","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-running-shoes/products/gladiator-off-white-beige-orm-661-17","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-beige-orm-661-17","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/mens-running-gym-shoes/products/gladiator-light-grey-orm-661-06","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-light-grey-orm-661-06","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/low-top-shoes-for-men/products/speed-cat-crazy-horse-tan-ocm-062-04","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/speed-cat-crazy-horse-tan-ocm-062-04","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/magnum-black-ocm-750-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/magnum-black-ocm-750-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/stussy-brown-orm-407-40","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/stussy-brown-orm-407-40","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/tribe-x-black-matte-ocm-769-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/tribe-x-black-matte-ocm-769-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-running-shoes/products/pulsara-for-her-off-white-pink-orw-889-02","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/pulsara-for-her-off-white-pink-orw-889-02","","max-image-preview:large","","","","",""
"https://offlimits.co.in/collections/women-running-shoes/products/speedster-for-her-off-white-light-grey-orw-730-06","1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/speedster-for-her-off-white-light-grey-orw-730-06","","max-image-preview:large","","","","",""
