"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_11_2x_c8ab0a7c-97c0-460d-9505-5bb348f5420d.webp?v=1749454119","UNLOCK YOUR","11","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_rdtMER']/div/div/a/div[1]/div[@class='custom_unlock_inner']/div[@class='custom_unlock_image'][1]/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://offlimits.co.in/cdn/shop/files/White_fe958b6c-a1f4-4a0e-8833-a8ed184f503d_170x.svg?v=1717740409","OFFLIMITS","9","Protocol-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[3]/div/a/img[1]","Header","HTML","","",""
"Image","https://offlimits.co.in/","https://offlimits.co.in/cdn/shop/files/White_fe958b6c-a1f4-4a0e-8833-a8ed184f503d_170x.svg?v=1717740409","OFFLIMITS","9","Protocol-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[3]/div/a/img[2]","Header","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/New_Project_11_3dbf9b4d-d5c4-44ef-b8dd-4fff04038664.jpg?v=1741157228","","0","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-custom_html_r9UJAP']/div/div/div/div/a[2]/img","Content","HTML","","",""
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/facebook.svg?v=1634562685","facebook","8","Absolute","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='row']/div[1]/aside/div/div/div[@class='social-icons']/ul/li[3]/a/img","Aside","HTML","","",""
"Image","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/facebook.svg?v=1634562685","facebook","8","Absolute","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='row']/div[1]/aside/div/div/div[@class='social-icons']/ul/li[3]/a/img","Aside","HTML","","",""
"Image","https://offlimits.co.in/collections/mens-bestsellers/products/swat-orm-600-03","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/facebook.svg?v=1634562685","facebook","8","Absolute","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='row']/div[1]/aside/div/div/div[@class='social-icons']/ul/li[3]/a/img","Aside","HTML","","",""
"Image","https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/facebook.svg?v=1634562685","facebook","8","Absolute","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='row']/div[1]/aside/div/div/div[@class='social-icons']/ul/li[3]/a/img","Aside","HTML","","",""
"Image","https://offlimits.co.in/collections/men-clothing","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/facebook.svg?v=1634562685","facebook","8","Absolute","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='row']/div[1]/aside/div/div/div[@class='social-icons']/ul/li[3]/a/img","Aside","HTML","","",""
"Image","https://offlimits.co.in/collections/women-track-suits","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/facebook.svg?v=1634562685","facebook","8","Absolute","//body/div[@id='nt_wrapper']/footer/div[@id='shopify-section-footer_top']/div/div/div[@class='row']/div[1]/aside/div/div/div[@class='social-icons']/ul/li[3]/a/img","Aside","HTML","","",""
