"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://offlimits.co.in/","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/mens-bestsellers/products/swat-orm-600-03","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/men-clothing","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/women-track-suits","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/white-sneaker","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/new-arrivals","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/men-walking","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/pages/shipping-policy","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/pages/about-us","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/women-hoodies-jackets","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/women-lifestyle","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/mens-bestsellers/products/stussy-memory-tech-1-orm-407-08","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/new-arrivals-2026/products/hoop-off-white-honey-orm-867-02","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-blue-ocm-915-12","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/limited-edition","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/women-shoes","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/mens-running-gym-shoes","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/low-top-shoes-for-men","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/men-lifestyle-recover-kicks","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/women-running-shoes","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/pages/technology","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/men-shorts","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
"JavaScript","https://offlimits.co.in/collections/men-running-shoes","https://analytics.gokwik.co/analytics.js","0","","","0","DNS lookup failed","Crawlable","true","","","Absolute","//body/script[@id='gokwikHeaderAnalytics']","Content","HTML"
