"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/stussy","9291","","","429","Too Many Requests","Crawlable","true","_self","","Absolute","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-1581505806578']/div/div/div[@id='nt_img_xefKR6']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/","https://offlimits.co.in/collections/stussy","9291","","","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/div[@id='nt_content']/div[@id='shopify-section-collection_list_w9kqc3']/div/div[2]/div[@id='nt_collection_CLgYd9']/div/a","Content","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/mens-bestsellers/products/swat-orm-600-03","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-clothing","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-track-suits","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/white-sneaker","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/new-arrivals","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/men-walking","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/shipping-policy","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/pages/about-us","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-hoodies-jackets","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
"Hyperlink","https://offlimits.co.in/collections/women-lifestyle","https://offlimits.co.in/collections/stussy","9291","","Stussy","429","Too Many Requests","Crawlable","true","","","Root-Relative","//body/div[@id='nt_wrapper']/header/div/div/div/div/div/div[2]/nav/ul/li[@id='item_mega_MT7BMb']/div/div/div/div[@id='bk_link_DmVDRK']/ul/li[@class='menu-item'][2]/a","Navigation","HTML"
