"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://offlimits.co.in/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/","max-image-preview:large",""
"https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","max-image-preview:large",""
"https://offlimits.co.in/collections/mens-bestsellers/products/swat-orm-600-03","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/swat-orm-600-03","max-image-preview:large",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/griffith-big-tall-off-white-green-ocm-936-05","max-image-preview:large",""
"https://offlimits.co.in/collections/men-clothing","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/men-clothing","max-image-preview:large",""
"https://offlimits.co.in/collections/women-track-suits","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/women-track-suits","max-image-preview:large",""
"https://offlimits.co.in/collections/white-sneaker","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/white-sneaker","max-image-preview:large",""
"https://offlimits.co.in/collections/new-arrivals","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/new-arrivals","max-image-preview:large",""
"https://offlimits.co.in/collections/men-walking","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/men-walking","max-image-preview:large",""
"https://offlimits.co.in/pages/shipping-policy","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/pages/shipping-policy","max-image-preview:large",""
"https://offlimits.co.in/pages/about-us","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/pages/about-us","max-image-preview:large",""
"https://offlimits.co.in/collections/women-hoodies-jackets","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/women-hoodies-jackets","max-image-preview:large",""
"https://offlimits.co.in/collections/women-lifestyle","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/women-lifestyle","max-image-preview:large",""
"https://offlimits.co.in/collections/mens-bestsellers/products/stussy-memory-tech-1-orm-407-08","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/stussy-memory-tech-1-orm-407-08","max-image-preview:large",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/hoop-off-white-honey-orm-867-02","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/hoop-off-white-honey-orm-867-02","max-image-preview:large",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-blue-ocm-915-12","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/roger-select-blue-ocm-915-12","max-image-preview:large",""
"https://offlimits.co.in/collections/limited-edition","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/limited-edition","max-image-preview:large",""
"https://offlimits.co.in/collections/women-shoes","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/women-shoes","max-image-preview:large",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/mens-running-gym-shoes","max-image-preview:large",""
"https://offlimits.co.in/collections/low-top-shoes-for-men","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/low-top-shoes-for-men","max-image-preview:large",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks","max-image-preview:large",""
"https://offlimits.co.in/collections/women-running-shoes","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/women-running-shoes","max-image-preview:large",""
"https://offlimits.co.in/pages/technology","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/pages/technology","max-image-preview:large",""
"https://offlimits.co.in/collections/men-shorts","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/men-shorts","max-image-preview:large",""
"https://offlimits.co.in/collections/men-running-shoes","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/men-running-shoes","max-image-preview:large",""
"https://offlimits.co.in/collections/mens-running-gym-shoes/products/gladiator-light-grey-orm-661-06","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-light-grey-orm-661-06","max-image-preview:large",""
"https://offlimits.co.in/collections/low-top-shoes-for-men/products/speed-cat-crazy-horse-tan-ocm-062-04","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/speed-cat-crazy-horse-tan-ocm-062-04","max-image-preview:large",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/magnum-black-ocm-750-02","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/magnum-black-ocm-750-02","max-image-preview:large",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/stussy-brown-orm-407-40","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/stussy-brown-orm-407-40","max-image-preview:large",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/tribe-x-black-matte-ocm-769-02","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/tribe-x-black-matte-ocm-769-02","max-image-preview:large",""
"https://offlimits.co.in/collections/women-running-shoes/products/pulsara-for-her-off-white-pink-orw-889-02","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/pulsara-for-her-off-white-pink-orw-889-02","max-image-preview:large",""
"https://offlimits.co.in/collections/women-running-shoes/products/speedster-for-her-off-white-light-grey-orw-730-06","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/speedster-for-her-off-white-light-grey-orw-730-06","max-image-preview:large",""
"https://offlimits.co.in/collections/men-shorts/products/mens-pol-cns-mesh-shorts-obm-77-01","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/mens-pol-cns-mesh-shorts-obm-77-01","max-image-preview:large",""
"https://offlimits.co.in/collections/men-running-shoes/products/gladiator-off-white-orm-661-02","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-orm-661-02","max-image-preview:large",""
"https://offlimits.co.in/collections/men-running-shoes/products/gladiator-off-white-beige-orm-661-17","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://offlimits.co.in/products/gladiator-off-white-beige-orm-661-17","max-image-preview:large",""
