"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://offlimits.co.in/collections/men-clothing/products/otm-161-02-mens-sp-cns-stripe-hood-ts-white-navy-otm-161-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/men-clothing/products/otm-161-02-mens-sp-cns-stripe-hood-ts-white-navy-otm-161-02"
"https://offlimits.co.in/collections/women-track-suits/products/womens-pcf-cns-hood-ts-2-zipper-hooded-tracksuits-otw-150-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","123","","https://offlimits.co.in/collections/women-track-suits/products/womens-pcf-cns-hood-ts-2-zipper-hooded-tracksuits-otw-150-01"
"https://offlimits.co.in/collections/women-track-suits/products/women-north-tracksuit-light-grey-neon-green-otw-153-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/women-track-suits/products/women-north-tracksuit-light-grey-neon-green-otw-153-01"
"https://offlimits.co.in/collections/women-lifestyle/products/roger-for-her-off-white-black-royal-blue-lime-punch-orw-584-16","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","123","","https://offlimits.co.in/collections/women-lifestyle/products/roger-for-her-off-white-black-royal-blue-lime-punch-orw-584-16"
"https://offlimits.co.in/collections/women-lifestyle/products/roger-for-her-off-white-teal-light-grey-orange-orw-584-17","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","118","","https://offlimits.co.in/collections/women-lifestyle/products/roger-for-her-off-white-teal-light-grey-orange-orw-584-17"
"https://offlimits.co.in/collections/limited-edition/products/gladiator-explorex-for-her-2-0-off-white-pink-ocw-884-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/limited-edition/products/gladiator-explorex-for-her-2-0-off-white-pink-ocw-884-01"
"https://offlimits.co.in/collections/limited-edition/products/baseline-23-chicago-bulls-off-white-red-black-ocm-828-04","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/limited-edition/products/baseline-23-chicago-bulls-off-white-red-black-ocm-828-04"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-beige-black-ocm-723-03","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","119","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-beige-black-ocm-723-03"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/roger-dark-grey-off-white-orange-orm-351-29","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","116","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/roger-dark-grey-off-white-orange-orm-351-29"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/tribe-x-black-brown-mocha-mousse-ocm-769-04","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","116","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/tribe-x-black-brown-mocha-mousse-ocm-769-04"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-red-beige-ocm-723-05","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-red-beige-ocm-723-05"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/roger-navy-royal-blue-mango-green-orm-351-18","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/roger-navy-royal-blue-mango-green-orm-351-18"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-black-beige-ocm-723-01","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","119","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-black-beige-ocm-723-01"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-tan-brown-ocm-723-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-tan-brown-ocm-723-02"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/stussy-off-white-brown-mocha-mousse-orm-407-48","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","119","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/stussy-off-white-brown-mocha-mousse-orm-407-48"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-aqua-beige-ocm-723-04","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","118","","https://offlimits.co.in/collections/men-lifestyle-recover-kicks/products/memphis-genuine-leather-aqua-beige-ocm-723-04"
"https://offlimits.co.in/collections/women-running-shoes/products/fantastic-for-her-black-peach-black-peach-orw-743-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","117","","https://offlimits.co.in/collections/women-running-shoes/products/fantastic-for-her-black-peach-black-peach-orw-743-02"
