"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.strique.io/","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/","https://www.strique.io/","193263","","FAQ","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/footer/div/div[1]/div[2]/div[1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.strique.io/contact","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/contact","https://www.strique.io/","193263","","FAQ","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/footer/div/div[1]/div[2]/div[1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.strique.io/customers/powerlook","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers/powerlook","https://www.strique.io/","193263","","FAQ","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/footer/div/div[1]/div[2]/div[1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.strique.io/customers/inc5","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers/inc5","https://www.strique.io/","193263","","FAQ","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/footer/div/div[1]/div[2]/div[1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.strique.io/customers","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers","https://www.strique.io/","193263","","FAQ","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/footer/div/div[1]/div[2]/div[1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.strique.io/product","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/product","https://www.strique.io/","193263","","FAQ","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/footer/div/div[1]/div[2]/div[1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.strique.io/terms","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
