"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.strique.io/","1","Indexable","","https://www.strique.io/","","index, follow","","","","",""
"https://www.strique.io/contact","1","Indexable","","https://www.strique.io/contact","","index, follow","","","","",""
"https://www.strique.io/customers/powerlook","1","Indexable","","https://www.strique.io/customers/powerlook","","index, follow","","","","",""
"https://www.strique.io/customers/inc5","1","Indexable","","https://www.strique.io/customers/inc5","","index, follow","","","","",""
"https://www.strique.io/customers","1","Indexable","","https://www.strique.io/customers","","index, follow","","","","",""
"https://www.strique.io/product","1","Indexable","","https://www.strique.io/product","","index, follow","","","","",""
"https://www.strique.io/terms","1","Indexable","","https://www.strique.io/terms","","index, follow","","","","",""
"https://www.strique.io/for","1","Indexable","","https://www.strique.io/for","","index, follow","","","","",""
"https://www.strique.io/pricing","1","Indexable","","https://www.strique.io/pricing","","index, follow","","","","",""
"https://www.strique.io/solutions","1","Indexable","","https://www.strique.io/solutions","","index, follow","","","","",""
"https://www.strique.io/privacy-policy","1","Indexable","","https://www.strique.io/privacy-policy","","index, follow","","","","",""
"https://www.strique.io/trust-center","1","Indexable","","https://www.strique.io/trust-center","","index, follow","","","","",""
"https://www.strique.io/about","1","Indexable","","https://www.strique.io/about","","index, follow","","","","",""
"https://www.strique.io/security","1","Indexable","","https://www.strique.io/security","","index, follow","","","","",""
"https://www.strique.io/careers","1","Indexable","","https://www.strique.io/careers","","index, follow","","","","",""
"https://www.strique.io/customers/crimzon","1","Indexable","","https://www.strique.io/customers/crimzon","","index, follow","","","","",""
"https://www.strique.io/integrations","1","Indexable","","https://www.strique.io/integrations","","index, follow","","","","",""
"https://www.strique.io/integrations/hubspot","1","Indexable","","https://www.strique.io/integrations/hubspot","","index, follow","","","","",""
"https://www.strique.io/contact?intent=careers","1","Non-Indexable","Canonicalised","https://www.strique.io/contact","","index, follow","","","","",""
"https://www.strique.io/integrations/google-ads","1","Indexable","","https://www.strique.io/integrations/google-ads","","index, follow","","","","",""
"https://www.strique.io/integrations/meta-ads","1","Indexable","","https://www.strique.io/integrations/meta-ads","","index, follow","","","","",""
"https://www.strique.io/careers/ai-apprentice-program","1","Indexable","","https://www.strique.io/careers/ai-apprentice-program","","index, follow","","","","",""
"https://www.strique.io/careers/founding-customer-engineer","1","Indexable","","https://www.strique.io/careers/founding-customer-engineer","","index, follow","","","","",""
"https://www.strique.io/careers/revenue-marketer","1","Indexable","","https://www.strique.io/careers/revenue-marketer","","index, follow","","","","",""
"https://www.strique.io/careers/senior-full-stack-engineer","1","Indexable","","https://www.strique.io/careers/senior-full-stack-engineer","","index, follow","","","","",""
"https://www.strique.io/careers/product-designer","1","Indexable","","https://www.strique.io/careers/product-designer","","index, follow","","","","",""
"https://www.strique.io/careers/agent-infrastructure-engineer","1","Indexable","","https://www.strique.io/careers/agent-infrastructure-engineer","","index, follow","","","","",""
"https://www.strique.io/careers/applied-ml-researcher","1","Indexable","","https://www.strique.io/careers/applied-ml-researcher","","index, follow","","","","",""
"https://www.strique.io/careers/founding-growth-engineer","1","Indexable","","https://www.strique.io/careers/founding-growth-engineer","","index, follow","","","","",""
"https://www.strique.io/solutions/local-services","1","Indexable","","https://www.strique.io/solutions/local-services","","index, follow","","","","",""
"https://www.strique.io/solutions/agencies","1","Indexable","","https://www.strique.io/solutions/agencies","","index, follow","","","","",""
"https://www.strique.io/solutions/b2b-saas","1","Indexable","","https://www.strique.io/solutions/b2b-saas","","index, follow","","","","",""
"https://www.strique.io/solutions/ecommerce","1","Indexable","","https://www.strique.io/solutions/ecommerce","","index, follow","","","","",""
