"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.strique.io/","553","156","3.545","71.518","Fairly Easy","","","","","","","","","","en","31b5e74bc10e5200705185b9fffe8a1e","Indexable",""
"https://www.strique.io/contact","88","21","4.190","92.025","Very Easy","","","","","","","","","","en","522a5072805342ac4993efc5c4332b25","Indexable",""
"https://www.strique.io/customers/powerlook","279","52","5.365","76.460","Fairly Easy","","","","","","","","","","en","9257e2b6ad448490dc39806bffcafcc7","Indexable",""
"https://www.strique.io/customers/inc5","276","53","5.208","73.730","Fairly Easy","","","","","","","","","","en","40ed4a4c98c37c326e3c4c3555fa0094","Indexable",""
"https://www.strique.io/customers","181","35","5.171","72.115","Fairly Easy","","","","","","","","","","en","c82fd10d0ee0305ad4c923c4769befed","Indexable",""
"https://www.strique.io/product","822","198","4.152","61.004","Normal","","","","","","","","","","en","9fb6c394090655ef93c0f635f765faee","Indexable",""
"https://www.strique.io/terms","7021","961","7.306","60.669","Normal","","","","","","","","","","en","f53ef15b1680f8af14f346715552b8c5","Indexable",""
"https://www.strique.io/for","143","33","4.333","93.581","Very Easy","","","","","","","","","","en","b82307bf8e0a7aa42ff3675d6534ad7f","Indexable",""
"https://www.strique.io/pricing","452","104","4.346","89.187","Easy","","","","","","","","","","en","62ba318362d597db3d6df7754b3ed8c5","Indexable",""
"https://www.strique.io/solutions","182","38","4.789","70.425","Fairly Easy","","","","","","","","","","en","aba3570b38f73eaf81ecb8e240a83b14","Indexable",""
"https://www.strique.io/privacy-policy","3632","574","6.328","61.097","Normal","","","","","","","","","","en","7762192f6284b522ba6597723044aa27","Indexable",""
"https://www.strique.io/trust-center","577","180","3.206","47.724","Hard","","","","","","","","","","en","ebed0863c9b0485f9a3395e6b53de757","Indexable",""
"https://www.strique.io/about","401","82","4.890","76.132","Fairly Easy","","","","","","","","","","en","3865804e37d19fb3fe6ed19460b26dd8","Indexable",""
"https://www.strique.io/security","478","102","4.686","40.666","Hard","","","","","","","","","","en","99de0a8284ec3568445b97d87bb7e15c","Indexable",""
"https://www.strique.io/careers","442","110","4.018","70.114","Fairly Easy","","","","","","","","","","en","2c18b5c923fa4ad4938c491138a0a512","Indexable",""
"https://www.strique.io/customers/crimzon","293","71","4.127","87.151","Easy","","","","","","","","","","en","d3f4799c6c7e1f6a5f3acb0a5831ef9e","Indexable",""
"https://www.strique.io/integrations","135","35","3.857","68.813","Normal","","","","","","","","","","en","ba2297ac356fb1077d2ef07ef1235983","Indexable",""
"https://www.strique.io/integrations/hubspot","182","37","4.919","70.294","Fairly Easy","","","","","","","","","","en","8b0704b8a77d9696dd4ac4475e2527e4","Indexable",""
