"Site Crawled","https://www.strique.io/"
"Start Date","2026-07-23"
"Start Time","16:45:40"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:45:57"
"Elapsed","00:00:16"
"Report Date","2026-07-23"
"Report Time","16:46:01"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","179","100.00%","179","URLs Encountered"
"Total URLs Crawled","151","84.36%","179","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","179","URLs Encountered"
"Total External blocked by robots.txt","28","15.64%","179","URLs Encountered"
""
"URLs Displayed","179","100.00%","179","URLs Displayed"
"Total Internal URLs","121","67.60%","179","URLs Displayed"
"Total External URLs","58","32.40%","179","URLs Displayed"
"Total Internal Indexable URLs","110","61.45%","179","URLs Displayed"
"Total Internal Non-Indexable URLs","11","6.15%","179","URLs Displayed"
""
"Internal"
"All","121","100.00%","121","Internal URLs"
"HTML","49","40.50%","121","Internal URLs"
"JavaScript","39","32.23%","121","Internal URLs"
"CSS","1","0.83%","121","Internal URLs"
"Images","31","25.62%","121","Internal URLs"
"Media","0","0.00%","121","Internal URLs"
"Fonts","0","0.00%","121","Internal URLs"
"XML","1","0.83%","121","Internal URLs"
"PDF","0","0.00%","121","Internal URLs"
"Plugins","0","0.00%","121","Internal URLs"
"Other","0","0.00%","121","Internal URLs"
"Unknown","0","0.00%","121","Internal URLs"
""
"External"
"All","58","100.00%","58","External URLs"
"HTML","24","41.38%","58","External URLs"
"JavaScript","0","0.00%","58","External URLs"
"CSS","0","0.00%","58","External URLs"
"Images","0","0.00%","58","External URLs"
"Media","0","0.00%","58","External URLs"
"Fonts","0","0.00%","58","External URLs"
"XML","0","0.00%","58","External URLs"
"PDF","0","0.00%","58","External URLs"
"Plugins","0","0.00%","58","External URLs"
"Other","6","10.34%","58","External URLs"
"Unknown","28","48.28%","58","External URLs"
""
"Security"
"All","121","100.00%","121","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","121","All internal and non-HTML external URLs"
"HTTPS URLs","121","100.00%","121","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","121","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","121","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","121","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","121","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","121","All internal and non-HTML external URLs"
"Missing HSTS Header","121","100.00%","121","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","121","100.00%","121","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0.00%","121","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","121","100.00%","121","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","0","0.00%","121","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","121","All internal and non-HTML external URLs"
""
"Response Codes"
"All","179","100.00%","179","All Internal & External Crawled URLs"
"Blocked by Robots.txt","28","15.64%","179","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","179","All Internal & External Crawled URLs"
"No Response","0","0.00%","179","All Internal & External Crawled URLs"
"Success (2xx)","136","75.98%","179","All Internal & External Crawled URLs"
"Redirection (3xx)","14","7.82%","179","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","179","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","179","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","179","All Internal & External Crawled URLs"
"Client Error (4xx)","1","0.56%","179","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","179","All Internal & External Crawled URLs"
"Internal All","121","67.60%","179","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","179","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","179","All Internal Crawled URLs"
"Internal No Response","0","0.00%","179","All Internal Crawled URLs"
"Internal Success (2xx)","121","67.60%","179","All Internal Crawled URLs"
"Internal Redirection (3xx)","0","0.00%","179","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","179","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","179","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","179","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","179","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","179","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","179","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","179","All Internal Crawled URLs"
"External All","58","32.40%","179","All External Crawled URLs"
"External Blocked by Robots.txt","28","15.64%","179","All External Crawled URLs"
"External Blocked Resource","0","0.00%","179","All External Crawled URLs"
"External No Response","0","0.00%","179","All External Crawled URLs"
"External Success (2xx)","15","8.38%","179","All External Crawled URLs"
"External Redirection (3xx)","14","7.82%","179","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","179","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","179","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","179","All External Crawled URLs"
"External Client Error (4xx)","1","0.56%","179","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","179","All External Crawled URLs"
""
"URL"
"All","121","100.00%","121","Internal URLs"
"Non ASCII Characters","0","0.00%","121","Internal URLs"
"Underscores","0","0.00%","121","Internal URLs"
"Uppercase","0","0.00%","121","Internal URLs"
"Multiple Slashes","0","0.00%","121","Internal URLs"
"Repetitive Path","0","0.00%","121","Internal URLs"
"Contains Space","0","0.00%","121","Internal URLs"
"Internal Search","0","0.00%","121","Internal URLs"
"Parameters","11","9.09%","121","Internal URLs"
"Broken Bookmark","0","0.00%","121","Internal URLs"
