"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.strique.io/","1","index, follow","","","https://www.strique.io/","","Indexable",""
"https://www.strique.io/images/badge-google-partner.svg","0","","","","","","Indexable",""
"https://www.strique.io/contact","1","index, follow","","","https://www.strique.io/contact","","Indexable",""
"https://www.strique.io/brand/logomark.svg","0","","","","","","Indexable",""
"https://www.strique.io/customers/powerlook","1","index, follow","","","https://www.strique.io/customers/powerlook","","Indexable",""
"https://www.strique.io/_next/static/chunks/3133-030be0d2786300d3.js","0","","","","","","Indexable",""
"https://www.strique.io/images/badge-meta-business-partner.svg","0","","","","","","Indexable",""
"https://www.strique.io/brand/shopify%20partner%20logo.svg","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/css/b2dc23450bacdec9.css","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/main-app-c2b548aebeff9f30.js","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/8516-a7b445ce730b31c6.js","0","","","","","","Indexable",""
"https://www.strique.io/customers/inc5","1","index, follow","","","https://www.strique.io/customers/inc5","","Indexable",""
"https://www.strique.io/images/footer-iso-logo.svg","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/5609-f3075d9f6dd430e3.js","0","","","","","","Indexable",""
"https://www.strique.io/sitemap.xml","0","","","","","","Indexable",""
"https://www.strique.io/customers","1","index, follow","","","https://www.strique.io/customers","","Indexable",""
"https://www.strique.io/_next/static/chunks/8727-a40e48e03e9b2d62.js","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/3418-a9d0586ffac7dd78.js","0","","","","","","Indexable",""
"https://www.strique.io/product","1","index, follow","","","https://www.strique.io/product","","Indexable",""
"https://www.strique.io/terms","1","index, follow","","","https://www.strique.io/terms","","Indexable",""
"https://www.strique.io/images/footer-strique-glow.svg","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/9912-ae48d376928a284b.js","0","","","","","","Indexable",""
"https://www.strique.io/for","1","index, follow","","","https://www.strique.io/for","","Indexable",""
"https://www.strique.io/_next/static/chunks/7642-eedec7de89ba12af.js","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/webpack-9e1b561f9d1ddec8.js","0","","","","","","Indexable",""
"https://www.strique.io/pricing","1","index, follow","","","https://www.strique.io/pricing","","Indexable",""
"https://www.strique.io/solutions","1","index, follow","","","https://www.strique.io/solutions","","Indexable",""
"https://www.strique.io/privacy-policy","1","index, follow","","","https://www.strique.io/privacy-policy","","Indexable",""
"https://www.strique.io/trust-center","1","index, follow","","","https://www.strique.io/trust-center","","Indexable",""
"https://www.strique.io/images/figma/crimzon-logo.png","0","","","","","","Indexable",""
"https://www.strique.io/about","1","index, follow","","","https://www.strique.io/about","","Indexable",""
"https://www.strique.io/_next/static/chunks/2c3511fe-5e924dd31e2cd67a.js","0","","","","","","Indexable",""
"https://www.strique.io/images/figma/inc5-logo.png","0","","","","","","Indexable",""
"https://www.strique.io/ad%20examples/ad-8.png","0","","","","","","Indexable",""
"https://www.strique.io/security","1","index, follow","","","https://www.strique.io/security","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/layout-08221f52ccadf891.js","0","","","","","","Indexable",""
"https://www.strique.io/careers","1","index, follow","","","https://www.strique.io/careers","","Indexable",""
"https://www.strique.io/customers/crimzon","1","index, follow","","","https://www.strique.io/customers/crimzon","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/page-8e9f37411eb9c4ff.js","0","","","","","","Indexable",""
"https://www.strique.io/images/figma/powerlook-logo.png","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/8903-602387cd0f3b41b8.js","0","","","","","","Indexable",""
"https://www.strique.io/images/figma/chemistry-logo.png","0","","","","","","Indexable",""
"https://www.strique.io/images/figma/cottonworld-logo.png","0","","","","","","Indexable",""
"https://www.strique.io/images/footer-iso-ring.png","0","","","","","","Indexable",""
"https://www.strique.io/integrations","1","index, follow","","","https://www.strique.io/integrations","","Indexable",""
"https://www.strique.io/_next/static/chunks/polyfills-42372ed130431b0a.js","0","","","","","","Indexable",""
"https://www.strique.io/integrations/hubspot","1","index, follow","","","https://www.strique.io/integrations/hubspot","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/integrations/page-ec8c75374b0c7bf9.js","0","","","","","","Indexable",""
"https://www.strique.io/contact?intent=careers","1","index, follow","","","https://www.strique.io/contact","","Non-Indexable","Canonicalised"
"https://www.strique.io/integrations/google-ads","1","index, follow","","","https://www.strique.io/integrations/google-ads","","Indexable",""
"https://www.strique.io/integrations/meta-ads","1","index, follow","","","https://www.strique.io/integrations/meta-ads","","Indexable",""
"https://www.strique.io/careers/ai-apprentice-program","1","index, follow","","","https://www.strique.io/careers/ai-apprentice-program","","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","1","index, follow","","","https://www.strique.io/careers/founding-customer-engineer","","Indexable",""
"https://www.strique.io/careers/revenue-marketer","1","index, follow","","","https://www.strique.io/careers/revenue-marketer","","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","1","index, follow","","","https://www.strique.io/careers/senior-full-stack-engineer","","Indexable",""
"https://www.strique.io/careers/product-designer","1","index, follow","","","https://www.strique.io/careers/product-designer","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/security/page-9311fbcda3855c5e.js","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/careers/page-72bbdb2d1df08ea2.js","0","","","","","","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","1","index, follow","","","https://www.strique.io/careers/agent-infrastructure-engineer","","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","1","index, follow","","","https://www.strique.io/careers/applied-ml-researcher","","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","1","index, follow","","","https://www.strique.io/careers/founding-growth-engineer","","Indexable",""
"https://www.strique.io/images/sub-processors/mailchimp.svg","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/about/page-21035b4f330669fc.js","0","","","","","","Indexable",""
"https://www.strique.io/images/sub-processors/microsoft-azure.svg","0","","","","","","Indexable",""
"https://www.strique.io/images/sub-processors/github.svg","0","","","","","","Indexable",""
"https://www.strique.io/images/sub-processors/scrut.png","0","","","","","","Indexable",""
"https://www.strique.io/images/sub-processors/neon.svg","0","","","","","","Indexable",""
"https://www.strique.io/_next/static/chunks/app/trust-center/page-1d2c1a6b90da9033.js","0","","","","","","Indexable",""
"https://www.strique.io/images/sub-processors/clerk.svg","0","","","","","","Indexable",""
"https://www.strique.io/images/sub-processors/opportune.png","0","","","","","","Indexable",""
