"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://www.strique.io/","1","Marketing Agents for Ecommerce BrandsThat Actually Drive Revenue","64","Indexable",""
"https://www.strique.io/contact","1","Let's talk.","11","Indexable",""
"https://www.strique.io/customers/powerlook","1","Powerlook grew revenue 72% while scaling user registrations and conversions.","76","Indexable",""
"https://www.strique.io/customers/inc5","1","INC5 doubled net sales while compounding topline growth month over month.","73","Indexable",""
"https://www.strique.io/customers","1","Real teams. Real numbers. Real shipped.","39","Indexable",""
"https://www.strique.io/product","1","One agent loop. Every channel. Every outcome.","45","Indexable",""
"https://www.strique.io/terms","1","Terms of Use","12","Indexable",""
"https://www.strique.io/for","1","Find the role you're playing right now.","39","Indexable",""
"https://www.strique.io/pricing","1","Credits that power your entire marketing stack.","47","Indexable",""
"https://www.strique.io/solutions","1","Strique, tuned for how your business actually runs.","51","Indexable",""
"https://www.strique.io/privacy-policy","1","Privacy Policy","14","Indexable",""
"https://www.strique.io/trust-center","1","Security and compliance, with nothing to hide.","46","Indexable",""
"https://www.strique.io/about","1","Marketing, re-imagined as an agent loop.","40","Indexable",""
"https://www.strique.io/security","1","Built for teams that can't afford to ship blind.","48","Indexable",""
"https://www.strique.io/careers","1","Build the AI marketing OS.","26","Indexable",""
"https://www.strique.io/customers/crimzon","1","Crimzon grew revenue 163% and lifted ROAS 21% while scaling spend 2×.","69","Indexable",""
"https://www.strique.io/integrations","1","Connects to what you already run on.","36","Indexable",""
"https://www.strique.io/integrations/hubspot","1","Strique × HubSpot","17","Indexable",""
"https://www.strique.io/contact?intent=careers","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/integrations/google-ads","1","Strique × Google Ads","20","Indexable",""
"https://www.strique.io/integrations/meta-ads","1","Strique × Meta Ads","18","Indexable",""
"https://www.strique.io/careers/ai-apprentice-program","1","AI Apprentice (6-month program)","31","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","1","Founding Customer Engineer","26","Indexable",""
"https://www.strique.io/careers/revenue-marketer","1","Revenue Marketer","16","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","1","Senior Full-Stack Engineer","26","Indexable",""
"https://www.strique.io/careers/product-designer","1","Product Designer","16","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","1","Agent Infrastructure Engineer","29","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","1","Applied ML Researcher","21","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","1","Founding Growth Engineer","24","Indexable",""
"https://www.strique.io/solutions/local-services","1","Local services & restaurants","28","Indexable",""
"https://www.strique.io/solutions/agencies","1","Agencies & consultancies","24","Indexable",""
"https://www.strique.io/solutions/b2b-saas","1","B2B SaaS","8","Indexable",""
"https://www.strique.io/solutions/ecommerce","1","E-commerce & D2C","16","Indexable",""
"https://www.strique.io/contact?intent=sales","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/for/founders","1","Founders & solopreneurs","23","Indexable",""
"https://www.strique.io/for/cmos","1","CMOs & VPs of Marketing","23","Indexable",""
"https://www.strique.io/for/marketing-managers","1","Marketing managers","18","Indexable",""
"https://www.strique.io/vs/strique-vs-jasper","1","Strique vs. Jasper","18","Indexable",""
"https://www.strique.io/vs","1","How Strique stacks up.","22","Indexable",""
"https://www.strique.io/vs/strique-vs-adroll","1","Strique vs. AdRoll","18","Indexable",""
"https://www.strique.io/contact?intent=demo","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-growth-engineer","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=applied-ml-researcher","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=agent-infrastructure-engineer","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=product-designer","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=senior-full-stack-engineer","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=revenue-marketer","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-customer-engineer","1","Let's talk.","11","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=ai-apprentice-program","1","Let's talk.","11","Non-Indexable","Canonicalised"
