"Address","Content Type","Size (Bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://www.strique.io/images/badge-google-partner.svg","image/svg+xml","0","49","Indexable","",""
"https://www.strique.io/brand/logomark.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/badge-meta-business-partner.svg","image/svg+xml","0","49","Indexable","",""
"https://www.strique.io/brand/shopify%20partner%20logo.svg","image/svg+xml","0","49","Indexable","",""
"https://www.strique.io/images/footer-iso-logo.svg","image/svg+xml","0","49","Indexable","",""
"https://www.strique.io/images/footer-strique-glow.svg","image/svg+xml","0","49","Indexable","",""
"https://www.strique.io/images/figma/crimzon-logo.png","image/png","11636","1","Indexable","",""
"https://www.strique.io/images/figma/inc5-logo.png","image/png","7415","1","Indexable","",""
"https://www.strique.io/ad%20examples/ad-8.png","image/png","10779000","2","Indexable","",""
"https://www.strique.io/images/figma/powerlook-logo.png","image/png","13884","1","Indexable","",""
"https://www.strique.io/images/figma/chemistry-logo.png","image/png","11099","1","Indexable","",""
"https://www.strique.io/images/figma/cottonworld-logo.png","image/png","13889","1","Indexable","",""
"https://www.strique.io/images/footer-iso-ring.png","image/png","1400","49","Indexable","",""
"https://www.strique.io/images/sub-processors/mailchimp.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/microsoft-azure.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/github.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/scrut.png","image/png","23735","1","Indexable","",""
"https://www.strique.io/images/sub-processors/neon.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/clerk.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/opportune.png","image/png","31836","1","Indexable","",""
"https://www.strique.io/images/sub-processors/vercel.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/stripe.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/slack.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/google-cloud.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/sub-processors/openai.svg","image/svg+xml","0","1","Indexable","",""
"https://www.strique.io/images/product/personalization.jpg","image/jpeg","402463","1","Indexable","",""
"https://www.strique.io/images/product/brand-profile.jpg","image/jpeg","407790","1","Indexable","",""
"https://www.strique.io/images/product/slash-commands.jpg","image/jpeg","371937","1","Indexable","",""
"https://www.strique.io/images/customer-crimzon.avif","image/avif","82404","4","Indexable","",""
"https://www.strique.io/images/inc5-case-study.png","image/png","843489","4","Indexable","",""
"https://www.strique.io/images/powerlook-1-new.jpg","image/jpeg","56030","4","Indexable","",""
