"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.strique.io/careers","https://www.strique.io/contact?intent=careers","95723","","Get in touch","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[4]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/solutions","https://www.strique.io/contact?intent=sales","95723","","Talk to sales","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[3]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/integrations","https://www.strique.io/contact?intent=sales","95723","","Talk to us","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[3]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/vs","https://www.strique.io/contact?intent=sales","95723","","Ask for a comparison","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[3]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/customers/powerlook","https://www.strique.io/contact?intent=demo","95723","","Book a demo","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[2]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/customers/inc5","https://www.strique.io/contact?intent=demo","95723","","Book a demo","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[2]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/customers","https://www.strique.io/contact?intent=demo","95723","","Book a demo","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[3]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/about","https://www.strique.io/contact?intent=demo","95723","","Book a demo","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[4]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/customers/crimzon","https://www.strique.io/contact?intent=demo","95723","","Book a demo","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[2]/div/div/div[@class='fig-final-cta-buttons']/a","Content","HTML"
"Hyperlink","https://www.strique.io/solutions/local-services","https://www.strique.io/contact?intent=demo","95723","","Book a demo","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/main/section[1]/div[@class='fig-page-padded']/div/a[@class='btn-fill-to-dark']","Content","HTML"
