"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.strique.io/customers/powerlook","2","More wins","9","Want numbers like these?","24","Indexable",""
"https://www.strique.io/customers/inc5","2","More wins","9","Want numbers like these?","24","Indexable",""
"https://www.strique.io/customers/crimzon","2","More wins","9","Want numbers like these?","24","Indexable",""
"https://www.strique.io/careers/ai-apprentice-program","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/revenue-marketer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/product-designer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/for/founders","4","The shape of leverage.","22","Why founders choose an AI marketing agent over an agency","56","Indexable",""
"https://www.strique.io/for/cmos","4","The shape of leverage.","22","The compounding intelligence argument","37","Indexable",""
"https://www.strique.io/for/marketing-managers","4","The shape of leverage.","22","The coordination tax is the real cost","37","Indexable",""
"https://www.strique.io/vs/strique-vs-jasper","3","Where each tool fits.","21","When to pick which.","19","Indexable",""
"https://www.strique.io/vs/strique-vs-adroll","3","Where each tool fits.","21","When to pick which.","19","Indexable",""
