"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.strique.io/","9","Trusted by brands that aim to rock the moon.","44","That was a mouthful.","20","Indexable",""
"https://www.strique.io/customers/powerlook","2","More wins","9","Want numbers like these?","24","Indexable",""
"https://www.strique.io/customers/inc5","2","More wins","9","Want numbers like these?","24","Indexable",""
"https://www.strique.io/product","6","Built to work the way your team already thinks.","47","Every marketing channel. One agentic loop.","42","Indexable",""
"https://www.strique.io/terms","36","Scope of Terms of Use","21","About us","8","Indexable",""
"https://www.strique.io/pricing","3","Every feature, side by side.","28","Questions about the bill.","25","Indexable",""
"https://www.strique.io/privacy-policy","21","General Information we collect on Strique Website","49","Information that we collect from Client's Shopify or Magento Store","66","Indexable",""
"https://www.strique.io/trust-center","6","Independently verified. Contractually enforced.","47","Three promises we write down so we can’t weasel out of them.","60","Indexable",""
"https://www.strique.io/about","3","Why we built this.","18","Six principles that guide what we build, and what we don’t.","59","Indexable",""
"https://www.strique.io/security","4","Certifications and frameworks.","30","The security practices under the hood.","38","Indexable",""
"https://www.strique.io/careers","3","Four principles that shape how the team works.","46","Come build the thing.","21","Indexable",""
"https://www.strique.io/customers/crimzon","2","More wins","9","Want numbers like these?","24","Indexable",""
"https://www.strique.io/integrations/hubspot","2","What Strique can do with HubSpot","32","Put HubSpot on autopilot.","25","Indexable",""
"https://www.strique.io/integrations/google-ads","2","What Strique can do with Google Ads","35","Put Google Ads on autopilot.","28","Indexable",""
"https://www.strique.io/integrations/meta-ads","2","What Strique can do with Meta Ads","33","Put Meta Ads on autopilot.","26","Indexable",""
"https://www.strique.io/careers/ai-apprentice-program","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/revenue-marketer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/product-designer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","5","About the role","14","What you’ll own","15","Indexable",""
"https://www.strique.io/solutions/local-services","5","What the loop looks like for local services & restaurants.","58","What local businesses actually need from marketing","50","Indexable",""
"https://www.strique.io/solutions/agencies","5","What the loop looks like for agencies & consultancies.","54","The multi-Org model for agencies","32","Indexable",""
"https://www.strique.io/solutions/b2b-saas","5","What the loop looks like for b2b saas.","38","What a B2B AI marketing agent actually does","43","Indexable",""
"https://www.strique.io/solutions/ecommerce","5","What the loop looks like for e-commerce & d2c.","46","Why e-commerce teams switch to an AI marketing agent","52","Indexable",""
"https://www.strique.io/for/founders","4","The shape of leverage.","22","Why founders choose an AI marketing agent over an agency","56","Indexable",""
"https://www.strique.io/for/cmos","4","The shape of leverage.","22","The compounding intelligence argument","37","Indexable",""
"https://www.strique.io/for/marketing-managers","4","The shape of leverage.","22","The coordination tax is the real cost","37","Indexable",""
"https://www.strique.io/vs/strique-vs-jasper","3","Where each tool fits.","21","When to pick which.","19","Indexable",""
"https://www.strique.io/vs/strique-vs-adroll","3","Where each tool fits.","21","When to pick which.","19","Indexable",""
