"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.strique.io/","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/contact","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/customers/powerlook","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/customers/inc5","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/customers","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/product","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/terms","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/for","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/pricing","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/solutions","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/privacy-policy","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/trust-center","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/about","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/security","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/careers","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/customers/crimzon","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/integrations","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/integrations/hubspot","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/contact?intent=careers","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
"Image","https://www.strique.io/integrations/google-ads","https://www.strique.io/images/footer-iso-logo.svg","","0","Root-Relative","//body/div[3]/footer/div/div[2]/div[2]/div[1]/div/div/div/img","Footer","HTML","","",""
