"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Crawlability","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.strique.io/contact","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers/powerlook","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers/inc5","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/product","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/terms","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/for","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/pricing","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/solutions","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/privacy-policy","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/trust-center","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/about","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/security","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/careers","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/customers/crimzon","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/integrations","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/integrations/hubspot","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/contact?intent=careers","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/integrations/google-ads","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/integrations/meta-ads","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/careers/ai-apprentice-program","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
"Hyperlink","https://www.strique.io/careers/founding-customer-engineer","https://www.strique.io/","193263","","","200","OK","Crawlable","true","","","Root-Relative","//body/div[3]/nav/div/a","Navigation","HTML"
