"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.strique.io/","text/html; charset=utf-8","200","OK","Indexable","","98","0.048","",""
"https://www.strique.io/images/badge-google-partner.svg","image/svg+xml","200","OK","Indexable","","0","0.071","",""
"https://www.google.com/s2/favicons?domain=shopify.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.com/s2/favicons?domain=whatsapp.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.com/s2/favicons?domain=meta.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/contact","text/html; charset=utf-8","200","OK","Indexable","","52","0.037","",""
"https://www.google.com/s2/favicons?domain=analytics.google.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://chat.strique.io/","text/html","307","Temporary Redirect","Non-Indexable","Redirected","120","0.074","https://chat.strique.io/auth/sign-in","HTTP Redirect"
"https://www.google.com/s2/favicons?domain=klaviyo.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/brand/logomark.svg","image/svg+xml","200","OK","Indexable","","0","0.025","",""
"https://www.strique.io/customers/powerlook","text/html; charset=utf-8","200","OK","Indexable","","4","0.168","",""
"https://www.strique.io/_next/static/chunks/3133-030be0d2786300d3.js","application/javascript","200","OK","Indexable","","0","0.075","",""
"https://www.strique.io/images/badge-meta-business-partner.svg","image/svg+xml","200","OK","Indexable","","0","0.264","",""
"https://www.strique.io/brand/shopify%20partner%20logo.svg","image/svg+xml","200","OK","Indexable","","0","0.085","",""
"https://www.google.com/s2/favicons?domain=mailchimp.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/_next/static/css/b2dc23450bacdec9.css","text/css; charset=utf-8","200","OK","Indexable","","0","0.030","",""
"https://www.strique.io/_next/static/chunks/main-app-c2b548aebeff9f30.js","application/javascript","200","OK","Indexable","","0","0.274","",""
"https://www.strique.io/_next/static/chunks/8516-a7b445ce730b31c6.js","application/javascript","200","OK","Indexable","","0","0.138","",""
"https://www.strique.io/customers/inc5","text/html; charset=utf-8","200","OK","Indexable","","4","0.269","",""
"https://www.strique.io/images/footer-iso-logo.svg","image/svg+xml","200","OK","Indexable","","0","0.316","",""
"https://www.instagram.com/strique.io","text/html; charset=""utf-8""","200","OK","Indexable","","49","0.190","",""
"https://www.google.com/s2/favicons?domain=linkedin.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.com/s2/favicons?domain=tiktok.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/_next/static/chunks/5609-f3075d9f6dd430e3.js","application/javascript","200","OK","Indexable","","0","0.277","",""
"https://www.strique.io/sitemap.xml","application/xml","200","OK","Indexable","","49","0.029","",""
"https://www.strique.io/customers","text/html; charset=utf-8","200","OK","Indexable","","53","0.273","",""
"https://www.google.com/s2/favicons?domain=g2.com&sz=32","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/_next/static/chunks/8727-a40e48e03e9b2d62.js","application/javascript","200","OK","Indexable","","0","0.072","",""
"https://www.google.com/s2/favicons?domain=search.google.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/_next/static/chunks/3418-a9d0586ffac7dd78.js","application/javascript","200","OK","Indexable","","0","0.147","",""
"https://www.strique.io/product","text/html; charset=utf-8","200","OK","Indexable","","147","0.276","",""
"https://www.youtube.com/@strique_io","text/html; charset=utf-8","200","OK","Indexable","","49","0.167","",""
"https://www.google.com/s2/favicons?domain=snapchat.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.com/s2/favicons?domain=advertising.amazon.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.com/s2/favicons?domain=telegram.org&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.com/s2/favicons?domain=slack.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/terms","text/html; charset=utf-8","200","OK","Indexable","","131","0.243","",""
"https://www.google.com/s2/favicons?domain=sellercentral.amazon.com&sz=64","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.strique.io/images/footer-strique-glow.svg","image/svg+xml","200","OK","Indexable","","0","0.321","",""
"https://www.strique.io/_next/static/chunks/9912-ae48d376928a284b.js","application/javascript","200","OK","Indexable","","0","0.029","",""
