keyword,normalized_keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_page,gsc_country,status,notes
ai content creation,ai content creation,commercial,product,https://www.strique.io/product,18100,MEDIUM 65,high,existing; keyword_planner,,,,,,,new,GKP volume 18100; competition MEDIUM 65
ai content creators,ai content creators,commercial,product,https://www.strique.io/product,18100,MEDIUM 65,high,existing; keyword_planner,,,,,,,new,GKP volume 18100; competition MEDIUM 65
ai for content creation,ai for content creation,commercial,product,https://www.strique.io/product,18100,MEDIUM 65,high,existing; keyword_planner,,,,,,,new,GKP volume 18100; competition MEDIUM 65
ai ad generator,ai ad generator,commercial,product,https://www.strique.io/product,2400,MEDIUM 63,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition MEDIUM 63
ai advertisement generator,ai advertisement generator,commercial,product,https://www.strique.io/product,2400,MEDIUM 63,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition MEDIUM 63
auto seo,auto seo,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 70
automated seo optimization,automated seo optimization,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 70
automatic seo optimization,automatic seo optimization,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 70
seo automation,seo automation,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 70
seo optimization automation,seo optimization automation,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,existing; keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 70
ai tools for content creation,ai tools for content creation,commercial,product,https://www.strique.io/product,1900,LOW 27,high,existing; keyword_planner,,,,,,,new,GKP volume 1900; competition LOW 27
ai tools for content creators,ai tools for content creators,commercial,product,https://www.strique.io/product,1900,LOW 11,high,existing; keyword_planner,,,,,,,new,GKP volume 1900; competition LOW 11
ai content creation tools,ai content creation tools,commercial,product,https://www.strique.io/product,1600,LOW 10,high,existing; keyword_planner,,,,,,,new,GKP volume 1600; competition LOW 10
ai content creator,ai content creator,commercial,product,https://www.strique.io/product,1600,MEDIUM 59,high,existing; keyword_planner,,,,,,,new,GKP volume 1600; competition MEDIUM 59
ai content creator tools,ai content creator tools,commercial,product,https://www.strique.io/product,1600,LOW 10,high,existing; keyword_planner,,,,,,,new,GKP volume 1600; competition LOW 10
ai content generation,ai content generation,commercial,product,https://www.strique.io/product,1600,MEDIUM 59,high,existing; keyword_planner,,,,,,,new,GKP volume 1600; competition MEDIUM 59
ai marketing agent,ai marketing agent,commercial,product,https://www.strique.io/product,1600,LOW 29,high,existing; keyword_planner,,,,,,,new,GKP volume 1600; competition LOW 29
ai marketing platform,ai marketing platform,commercial,homepage,https://www.strique.io,1300,LOW 4,high,existing; keyword_planner,,,,,,,new,GKP volume 1300; competition LOW 4
artificial intelligence marketing platform,artificial intelligence marketing platform,commercial,homepage,https://www.strique.io,1300,LOW 4,high,existing; keyword_planner,,,,,,,new,GKP volume 1300; competition LOW 4
ai generated advertising,ai generated advertising,commercial,product,https://www.strique.io/product,1000,LOW 9,high,existing; keyword_planner,,,,,,,new,GKP volume 1000; competition LOW 9
ai powered content creation,ai powered content creation,commercial,product,https://www.strique.io/product,1000,LOW 4,high,existing; keyword_planner,,,,,,,new,GKP volume 1000; competition LOW 4
ai ad maker,ai ad maker,commercial,product,https://www.strique.io/product,880,MEDIUM 56,high,existing; keyword_planner,,,,,,,new,GKP volume 880; competition MEDIUM 56
ai ad generator free,ai ad generator free,commercial,product,https://www.strique.io/product,720,HIGH 67,high,existing; keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 67
ai in marketing automation,ai in marketing automation,informational,blog,https://www.strique.io/blog/what-is-an-ai-marketing-agent,720,LOW 16,high,existing; keyword_planner,,,,,,,new,GKP volume 720; competition LOW 16
ai marketing automation,ai marketing automation,commercial,product,https://www.strique.io/product,720,LOW 11,high,existing; keyword_planner,,,,,,,new,GKP volume 720; competition LOW 11
marketing automation ai,marketing automation ai,commercial,product,https://www.strique.io/product,720,LOW 16,high,existing,,,,,,,new,GKP volume 720; competition LOW 16
marketing automation artificial intelligence,marketing automation artificial intelligence,commercial,product,https://www.strique.io/product,720,LOW 16,high,existing; keyword_planner,,,,,,,new,GKP volume 720; competition LOW 16
ai ad creator,ai ad creator,commercial,product,https://www.strique.io/product,590,MEDIUM 66,high,existing; keyword_planner,,,,,,,new,GKP volume 590; competition MEDIUM 66
ai ads creator,ai ads creator,commercial,product,https://www.strique.io/product,590,MEDIUM 66,high,existing; keyword_planner,,,,,,,new,GKP volume 590; competition MEDIUM 66
content automation platform,content automation platform,commercial,product,https://www.strique.io/product,590,LOW 2,high,existing; keyword_planner,,,,,,,new,GKP volume 590; competition LOW 2
content automation platforms,content automation platforms,commercial,product,https://www.strique.io/product,590,LOW 2,high,existing; keyword_planner,,,,,,,new,GKP volume 590; competition LOW 2
ai ads generator,ai ads generator,commercial,product,https://www.strique.io/product,480,HIGH 71,high,existing; keyword_planner,,,,,,,new,GKP volume 480; competition HIGH 71
ai marketing automation tools,ai marketing automation tools,commercial,product,https://www.strique.io/product,480,LOW 6,high,existing; keyword_planner,,,,,,,new,GKP volume 480; competition LOW 6
best ai marketing tools,best ai marketing tools,commercial,comparison,https://www.strique.io/vs,480,HIGH 68,high,existing; keyword_planner,,,,,,,new,GKP volume 480; competition HIGH 68
free ai ad generator,free ai ad generator,commercial,product,https://www.strique.io/product,390,HIGH 74,high,existing; keyword_planner,,,,,,,new,GKP volume 390; competition HIGH 74
ai marketing software,ai marketing software,commercial,product,https://www.strique.io/product,320,LOW 13,high,existing; keyword_planner,,,,,,,new,GKP volume 320; competition LOW 13
ecommerce marketing automation,ecommerce marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,320,LOW 3,high,existing; keyword_planner,,,,,,,new,GKP volume 320; competition LOW 3
content marketing automation,content marketing automation,commercial,product,https://www.strique.io/product,210,LOW 3,high,existing; keyword_planner,,,,,,,new,GKP volume 210; competition LOW 3
marketing automation content marketing,marketing automation content marketing,commercial,product,https://www.strique.io/product,210,LOW 3,high,existing; keyword_planner,,,,,,,new,GKP volume 210; competition LOW 3
ai powered marketing automation,ai powered marketing automation,commercial,product,https://www.strique.io/product,170,LOW 3,high,existing; keyword_planner,,,,,,,new,GKP volume 170; competition LOW 3
free ai marketing tools,free ai marketing tools,commercial,product,https://www.strique.io/product,140,HIGH 86,high,existing; keyword_planner,,,,,,,new,GKP volume 140; competition HIGH 86
shopify marketing automation,shopify marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,140,LOW 6,high,existing; keyword_planner,,,,,,,new,GKP volume 140; competition LOW 6
ai ad creation,ai ad creation,commercial,product,https://www.strique.io/product,110,HIGH 76,high,existing; keyword_planner,,,,,,,new,GKP volume 110; competition HIGH 76
ai for marketing automation,ai for marketing automation,commercial,product,https://www.strique.io/product,110,LOW 7,high,existing; keyword_planner,,,,,,,new,GKP volume 110; competition LOW 7
ai ad creator free,ai ad creator free,commercial,product,https://www.strique.io/product,90,HIGH 71,high,existing; keyword_planner,,,,,,,new,GKP volume 90; competition HIGH 71
ai driven marketing automation,ai driven marketing automation,commercial,product,https://www.strique.io/product,90,LOW 5,high,existing; keyword_planner,,,,,,,new,GKP volume 90; competition LOW 5
ecommerce marketing automation platform,ecommerce marketing automation platform,commercial,solutions,https://www.strique.io/solutions/ecommerce,90,LOW 2,high,existing; keyword_planner,,,,,,,new,GKP volume 90; competition LOW 2
agentic ai marketing,agentic ai marketing,commercial,product,https://www.strique.io/product,70,MEDIUM 37,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition MEDIUM 37
ai ad creative generator,ai ad creative generator,commercial,product,https://www.strique.io/product,70,MEDIUM 60,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition MEDIUM 60
ai marketing analytics,ai marketing analytics,commercial,product,https://www.strique.io/product,70,LOW 8,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition LOW 8
ai marketing tools free,ai marketing tools free,commercial,product,https://www.strique.io/product,70,MEDIUM 46,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition MEDIUM 46
content marketing automation tools,content marketing automation tools,commercial,product,https://www.strique.io/product,70,LOW 1,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition LOW 1
free ai ad creator,free ai ad creator,commercial,product,https://www.strique.io/product,70,HIGH 77,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition HIGH 77
machine learning marketing automation,machine learning marketing automation,commercial,product,https://www.strique.io/product,70,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition LOW
top ai marketing tools,top ai marketing tools,commercial,comparison,https://www.strique.io/vs,70,MEDIUM 39,high,existing; keyword_planner,,,,,,,new,GKP volume 70; competition MEDIUM 39
ecommerce marketing automation software,ecommerce marketing automation software,commercial,solutions,https://www.strique.io/solutions/ecommerce,50,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 50; competition LOW
marketing automation reporting,marketing automation reporting,commercial,product,https://www.strique.io/product,50,LOW 2,high,existing; keyword_planner,,,,,,,new,GKP volume 50; competition LOW 2
ai ad optimization,ai ad optimization,commercial,product,https://www.strique.io/product,40,MEDIUM 37,high,existing; keyword_planner,,,,,,,new,GKP volume 40; competition MEDIUM 37
content marketing automation software,content marketing automation software,commercial,product,https://www.strique.io/product,40,LOW 2,high,existing; keyword_planner,,,,,,,new,GKP volume 40; competition LOW 2
marketing automation and ai,marketing automation and ai,commercial,product,https://www.strique.io/product,40,LOW 1,high,existing; keyword_planner,,,,,,,new,GKP volume 40; competition LOW 1
marketing automation using ai,marketing automation using ai,commercial,product,https://www.strique.io/product,40,LOW 6,high,existing; keyword_planner,,,,,,,new,GKP volume 40; competition LOW 6
strique,strique,navigational,homepage,https://www.strique.io,40,LOW 6,high,existing; keyword_planner,,,,,,,new,GKP volume 40; competition LOW 6
top ai marketing platforms,top ai marketing platforms,commercial,comparison,https://www.strique.io/vs,40,LOW 4,high,existing; keyword_planner,,,,,,,new,GKP volume 40; competition LOW 4
ai and marketing automation,ai and marketing automation,commercial,product,https://www.strique.io/product,30,LOW 15,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW 15
ai based marketing automation,ai based marketing automation,commercial,product,https://www.strique.io/product,30,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW
ai marketing startup,ai marketing startup,commercial,product,https://www.strique.io/product,30,LOW 56,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW 56
best ai marketing software,best ai marketing software,commercial,comparison,https://www.strique.io/vs,30,MEDIUM 41,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition MEDIUM 41
content marketing automation platform,content marketing automation platform,commercial,product,https://www.strique.io/product,30,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW
ecommerce email marketing automation,ecommerce email marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,30,LOW 10,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW 10
growth marketing automation,growth marketing automation,commercial,product,https://www.strique.io/product,30,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW
marketing automation tools for ecommerce,marketing automation tools for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,30,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 30; competition LOW
best marketing automation for ecommerce,best marketing automation for ecommerce,commercial,comparison,https://www.strique.io/solutions/ecommerce,20,LOW 0,high,existing; keyword_planner,,,,,,,new,GKP volume 20; competition LOW 0
email marketing automation for ecommerce,email marketing automation for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,20,LOW 16,high,existing; keyword_planner,,,,,,,new,GKP volume 20; competition LOW 16
adwords marketing automation,adwords marketing automation,commercial,integration,https://www.strique.io/integrations/google-ads,10,,high,existing; keyword_planner,,,,,,,new,GKP volume 10
ai ad copy generator free,ai ad copy generator free,commercial,product,https://www.strique.io/product,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
ai marketing os,ai marketing os,commercial,product,https://www.strique.io/product,10,HIGH 75,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition HIGH 75
best content marketing automation tools,best content marketing automation tools,commercial,comparison,https://www.strique.io/vs,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
best ecommerce marketing automation software,best ecommerce marketing automation software,commercial,comparison,https://www.strique.io/vs,10,,high,existing; keyword_planner,,,,,,,new,GKP volume 10
best ecommerce marketing automation tools,best ecommerce marketing automation tools,commercial,comparison,https://www.strique.io/vs,10,,high,existing; keyword_planner,,,,,,,new,GKP volume 10
content marketing marketing automation,content marketing marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
customer lifecycle marketing automation,customer lifecycle marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
d2c marketing automation,d2c marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,MEDIUM 62,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 62
dtc marketing automation,dtc marketing automation,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
ecommerce marketing automation tools,ecommerce marketing automation tools,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
free ai ad copy generator,free ai ad copy generator,commercial,product,https://www.strique.io/product,10,MEDIUM 36,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 36
intelligent marketing automation,intelligent marketing automation,commercial,product,https://www.strique.io/product,10,LOW 17,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW 17
lifecycle marketing automation,lifecycle marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
machine learning and marketing automation,machine learning and marketing automation,commercial,product,https://www.strique.io/product,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
marketing automation content strategy,marketing automation content strategy,commercial,product,https://www.strique.io/product,10,LOW,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW
marketing automation for growth teams,marketing automation for growth teams,commercial,product,https://www.strique.io/product,10,,high,existing; keyword_planner,,,,,,,new,GKP volume 10
marketing automation google ads,marketing automation google ads,commercial,integration,https://www.strique.io/integrations/google-ads,10,,high,existing; keyword_planner,,,,,,,new,GKP volume 10
marketing automation growth,marketing automation growth,commercial,product,https://www.strique.io/product,10,,high,existing; keyword_planner,,,,,,,new,GKP volume 10
strique ai,strique ai,navigational,homepage,https://www.strique.io,10,MEDIUM 43,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 43
strique io,strique io,navigational,homepage,https://www.strique.io,10,LOW 14,high,existing; keyword_planner,,,,,,,new,GKP volume 10; competition LOW 14
agentic ai marketing platform,agentic ai marketing platform,commercial,product,https://www.strique.io/product,,,high,existing; keyword_planner,,,,,,,new,Seeded from normalized keyword research evidence
marketing agent platform,marketing agent platform,commercial,product,https://www.strique.io/product,,,high,existing; keyword_planner,,,,,,,new,Seeded from normalized keyword research evidence
ai powered content generation,ai powered content generation,commercial,product,https://www.strique.io/product,480,LOW 16,medium,existing; keyword_planner,,,,,,,new,GKP volume 480; competition LOW 16
best ai tools for marketing,best ai tools for marketing,commercial,comparison,https://www.strique.io/vs,480,MEDIUM 52,medium,existing; keyword_planner,,,,,,,new,GKP volume 480; competition MEDIUM 52
ai content generation tools,ai content generation tools,commercial,product,https://www.strique.io/product,390,LOW 10,medium,existing; keyword_planner,,,,,,,new,GKP volume 390; competition LOW 10
automated seo platform,automated seo platform,commercial,product,https://www.strique.io/product,390,LOW 1,medium,existing; keyword_planner,,,,,,,new,GKP volume 390; competition LOW 1
seo automation platform,seo automation platform,commercial,product,https://www.strique.io/product,390,LOW 1,medium,existing; keyword_planner,,,,,,,new,GKP volume 390; competition LOW 1
artificial intelligence marketing software,artificial intelligence marketing software,commercial,product,https://www.strique.io/product,320,LOW 13,medium,existing; keyword_planner,,,,,,,new,GKP volume 320; competition LOW 13
automated content creation,automated content creation,commercial,product,https://www.strique.io/product,320,LOW 19,medium,existing; keyword_planner,,,,,,,new,GKP volume 320; competition LOW 19
automating content creation,automating content creation,commercial,product,https://www.strique.io/product,320,LOW 19,medium,existing,,,,,,,new,GKP volume 320; competition LOW 19
content creation ai,content creation ai,commercial,product,https://www.strique.io/product,320,HIGH 69,medium,existing; keyword_planner,,,,,,,new,GKP volume 320; competition HIGH 69
free ai tool for content creation,free ai tool for content creation,commercial,product,https://www.strique.io/product,320,MEDIUM 53,medium,existing; keyword_planner,,,,,,,new,GKP volume 320; competition MEDIUM 53
free ai tools for content creation,free ai tools for content creation,commercial,product,https://www.strique.io/product,320,MEDIUM 53,medium,existing; keyword_planner,,,,,,,new,GKP volume 320; competition MEDIUM 53
ai content creation software,ai content creation software,commercial,product,https://www.strique.io/product,260,LOW 3,medium,existing; keyword_planner,,,,,,,new,GKP volume 260; competition LOW 3
