keyword,intent,page_type,target_url,volume,difficulty,priority,source,status,notes
ai content creation,commercial,product,https://www.strique.io/product,18100,MEDIUM 65,high,Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition MEDIUM 65
ai content creators,commercial,product,https://www.strique.io/product,18100,MEDIUM 65,high,Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition MEDIUM 65
ai for content creation,commercial,product,https://www.strique.io/product,18100,MEDIUM 65,high,Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition MEDIUM 65
ai ad generator,commercial,product,https://www.strique.io/product,2400,MEDIUM 63,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition MEDIUM 63
ai advertisement generator,commercial,product,https://www.strique.io/product,2400,MEDIUM 63,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition MEDIUM 63
auto seo,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 70
automated seo optimization,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 70
automatic seo optimization,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 70
seo automation,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 70
seo optimization automation,commercial,product,https://www.strique.io/product,2400,HIGH 70,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 70
ai tools for content creation,commercial,product,https://www.strique.io/product,1900,LOW 27,high,Google Ads Keyword Planner via Composio,new,GKP volume 1900; competition LOW 27
ai tools for content creators,commercial,product,https://www.strique.io/product,1900,LOW 11,high,Google Ads Keyword Planner via Composio,new,GKP volume 1900; competition LOW 11
ai content creation tools,commercial,product,https://www.strique.io/product,1600,LOW 10,high,Google Ads Keyword Planner via Composio,new,GKP volume 1600; competition LOW 10
ai content creator,commercial,product,https://www.strique.io/product,1600,MEDIUM 59,high,Google Ads Keyword Planner via Composio,new,GKP volume 1600; competition MEDIUM 59
